LokalID	predator	Lokal	Individ	n_shoots	h_shoot	n_fl	phen_index	most_adv	n_eggs	n_pred_all	n_aborted_all	perc_undeveloped	n_intact_fruits	n_seeds	attack	h_shoot_mean	n_fl_mean	most_adv_mean	n_eggs_mean	n_intact_fruits_mean	attack_mean	h_shoot_sd	n_fl_sd	most_adv_sd	n_eggs_sd	n_intact_fruits_sd	attack_sd	h_shoot_sta	n_fl_sta	most_adv_sta	n_eggs_sta	n_intact_fruits_sta	attack_sta	n_intact_fruits_rel
Ale001	1	Bockemossen	1	6	17,2	5	4	5	0	2	0	40	1	800	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,434301614	1,307781752	1,727079427	-0,412965414	0,035478744	-0,48189441	1,041666667
Ale001	1	Bockemossen	2	4	28,6	7	2,142857143	3	0	2	0	100	5	225	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	1,531176116	2,577472774	-0,213459255	-0,412965414	3,58335312	-0,48189441	5,208333333
Ale001	1	Bockemossen	3	5	12,4	3	2	4	0	0	0	NA	2	590	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-1,261871185	0,038090731	0,756810086	-0,412965414	0,922447338	-0,48189441	2,083333333
Ale001	1	Bockemossen	4	3	27	3	2,333333333	3	0	1	0	NA	2	970	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	1,255319592	0,038090731	-0,213459255	-0,412965414	0,922447338	-0,48189441	2,083333333
Ale001	1	Bockemossen	5	12	10,2	2	1,5	2	0	0	0	NA	1	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-1,641173904	-0,59675478	-1,183728596	-0,412965414	0,035478744	-0,48189441	1,041666667
Ale001	1	Bockemossen	6	6	14,3	2	3,5	5	0	0	0	NA	2	620	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,934291563	-0,59675478	1,727079427	-0,412965414	0,922447338	-0,48189441	2,083333333
Ale001	1	Bockemossen	7	3	17,8	3	4	5	0	0	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,330855418	0,038090731	1,727079427	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	8	2	15,7	2	2	3	0	1	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,692917105	-0,59675478	-0,213459255	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	9	2	19	5	3,8	5	3	4	0	NA	0	NA	1	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,123963025	1,307781752	1,727079427	2,016242904	-0,85148985	2,054391958	0
Ale001	1	Bockemossen	10	8	17,8	3	2,666666667	4	0	1	0	100	1	470	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,330855418	0,038090731	0,756810086	-0,412965414	0,035478744	-0,48189441	1,041666667
Ale001	1	Bockemossen	11	3	10	1	4	4	0	1	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-1,67565597	-1,231600291	0,756810086	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	12	2	21	2	3	4	0	1	0	100	1	0	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,220857629	-0,59675478	0,756810086	-0,412965414	0,035478744	-0,48189441	1,041666667
Ale001	1	Bockemossen	13	2	17,6	3	3,333333333	5	2	2	0	NA	0	NA	1	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,365337483	0,038090731	1,727079427	1,206506798	-0,85148985	2,054391958	0
Ale001	1	Bockemossen	14	4	37,7	6	2,5	4	0	4	0	100	2	1080	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	3,100110093	1,942627263	0,756810086	-0,412965414	0,922447338	-0,48189441	2,083333333
Ale001	1	Bockemossen	15	3	27,2	3	3	4	0	3	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	1,289801658	0,038090731	0,756810086	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	16	3	20,6	3	3,333333333	5	5	3	0	NA	0	NA	1	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,151893498	0,038090731	1,727079427	3,635715115	-0,85148985	2,054391958	0
Ale001	1	Bockemossen	17	3	26	3	3,333333333	4	0	1	0	100	2	690	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	1,082909265	0,038090731	0,756810086	-0,412965414	0,922447338	-0,48189441	2,083333333
Ale001	1	Bockemossen	18	5	18,9	5	1,8	4	0	1	0	NA	4	1640	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,141204058	1,307781752	0,756810086	-0,412965414	2,696384526	-0,48189441	4,166666667
Ale001	1	Bockemossen	19	3	19,2	5	1,6	3	0	2	0	NA	3	990	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,08948096	1,307781752	-0,213459255	-0,412965414	1,809415932	-0,48189441	3,125
Ale001	1	Bockemossen	20	3	19,1	2	3	4	0	2	0	100	1	240	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,106721993	-0,59675478	0,756810086	-0,412965414	0,035478744	-0,48189441	1,041666667
Ale001	1	Bockemossen	21	9	16,9	1	4	4	0	0	0	NA	1	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,486024712	-1,231600291	0,756810086	-0,412965414	0,035478744	-0,48189441	1,041666667
Ale001	1	Bockemossen	22	3	10,3	1	2	2	0	0	0	NA	1	360	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-1,623932872	-1,231600291	-1,183728596	-0,412965414	0,035478744	-0,48189441	1,041666667
Ale001	1	Bockemossen	23	2	10,3	1	1	1	0	1	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-1,623932872	-1,231600291	-2,153997937	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	24	1	13,1	1	3	3	0	1	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-1,141183956	-1,231600291	-0,213459255	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	25	5	11,1	1	1	1	0	1	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-1,48600461	-1,231600291	-2,153997937	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	26	6	11,2	1	3	3	0	0	0	NA	1	0	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-1,468763577	-1,231600291	-0,213459255	-0,412965414	0,035478744	-0,48189441	1,041666667
Ale001	1	Bockemossen	27	3	21,2	4	2,25	4	0	1	0	100	3	1305	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,255339695	0,672936242	0,756810086	-0,412965414	1,809415932	-0,48189441	3,125
Ale001	1	Bockemossen	28	10	15,2	3	2,666666667	4	0	1	0	100	2	590	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,779122269	0,038090731	0,756810086	-0,412965414	0,922447338	-0,48189441	2,083333333
Ale001	1	Bockemossen	29	1	10,2	1	2	2	0	0	0	NA	1	190	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-1,641173904	-1,231600291	-1,183728596	-0,412965414	0,035478744	-0,48189441	1,041666667
Ale001	1	Bockemossen	30	2	15,7	2	3,5	4	2	3	0	NA	0	NA	1	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,692917105	-0,59675478	0,756810086	1,206506798	-0,85148985	2,054391958	0
Ale001	1	Bockemossen	31	3	23,2	4	3	4	0	2	0	99	1	40	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,600160349	0,672936242	0,756810086	-0,412965414	0,035478744	-0,48189441	1,041666667
Ale001	1	Bockemossen	32	3	24,1	3	3,333333333	4	0	1	0	100	2	1170	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,755329643	0,038090731	0,756810086	-0,412965414	0,922447338	-0,48189441	2,083333333
Ale001	1	Bockemossen	33	3	24	3	2,666666667	4	0	1	0	0	2	900	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,738088611	0,038090731	0,756810086	-0,412965414	0,922447338	-0,48189441	2,083333333
