LokalID	Predator	Lokal	Individ	n_shoots	h_shoot	n_fl	phen_index	most_adv	n_eggs	n_pred_all	n_aborted_all	perc_undeveloped	n_intact_fruits	n_seeds	attack	h_shoot_mean	n_fl_mean	most_adv_mean	n_eggs_mean	n_intact_fruits_mean	attack_mean	h_shoot_sd	n_fl_sd	most_adv_sd	n_eggs_sd	n_intact_fruits_sd	attack_sd	h_shoot_sta	n_fl_sta	most_adv_sta	n_eggs_sta	n_intact_fruits_sta	attack_sta	n_intact_fruits_rel
Ale001	1	Bockemossen	1	3	37	6	2,5	4	0	0	0	NA	0	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	2,83054612	1,260719962	0,20310096	-0,577027156	-1,102066688	-0,918331821	0
Ale001	1	Bockemossen	2	3	28,5	8	3,5	5	9	4	1	NA	3	870	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	1,35612266	2,315715747	1,049354961	1,81617303	1,226243217	1,078041703	2,112676056
Ale001	1	Bockemossen	3	2	22,2	4	3,5	5	0	2	0	NA	2	900	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,263314684	0,205724178	1,049354961	-0,577027156	0,450139915	-0,918331821	1,408450704
Ale001	1	Bockemossen	4	3	33,7	9	3,333333333	5	19	6	0	NA	3	270	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	2,258122895	2,843213639	1,049354961	4,475284349	1,226243217	1,078041703	2,112676056
Ale001	1	Bockemossen	5	4	23,4	4	3,5	5	16	2	0	NA	2	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,471468584	0,205724178	1,049354961	3,677550953	0,450139915	1,078041703	1,408450704
Ale001	1	Bockemossen	6	2	18,6	3	2,333333333	4	2	1	1	0	1	0	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,361147017	-0,321773714	0,20310096	-0,045204892	-0,325963387	1,078041703	0,704225352
Ale001	1	Bockemossen	7	5	22,4	3	3	4	2	1	1	NA	1	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,298007001	-0,321773714	0,20310096	-0,045204892	-0,325963387	1,078041703	0,704225352
Ale001	1	Bockemossen	8	3	31,6	5	3,2	4	6	4	1	0	0	160	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	1,893853569	0,73322207	0,20310096	1,018439635	-1,102066688	1,078041703	0
Ale001	1	Bockemossen	9	3	24,7	4	3,75	5	7	3	0	NA	1	130	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,696968643	0,205724178	1,049354961	1,284350767	-0,325963387	1,078041703	0,704225352
Ale001	1	Bockemossen	10	5	20,6	5	2,6	5	5	3	1	100	1	0	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,01422385	0,73322207	1,049354961	0,752528503	-0,325963387	1,078041703	0,704225352
Ale001	1	Bockemossen	11	2	13,7	1	3	3	0	0	0	NA	1	470	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-1,211108776	-1,376769499	-0,64315304	-0,577027156	-0,325963387	-0,918331821	0,704225352
Ale001	1	Bockemossen	12	2	19,5	2	1,5	2	0	1	1	NA	0	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,205031592	-0,849271606	-1,489407041	-0,577027156	-1,102066688	-0,918331821	0
Ale001	1	Bockemossen	13	2	26	3	2,666666667	4	4	2	0	0	1	0	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,922468701	-0,321773714	0,20310096	0,486617371	-0,325963387	1,078041703	0,704225352
Ale001	1	Bockemossen	14	3	23,2	4	2,5	4	7	3	0	NA	1	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,436776267	0,205724178	0,20310096	1,284350767	-0,325963387	1,078041703	0,704225352
Ale001	1	Bockemossen	15	1	24	2	3	4	0	1	0	NA	1	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,575545534	-0,849271606	0,20310096	-0,577027156	-0,325963387	-0,918331821	0,704225352
Ale001	1	Bockemossen	16	4	26,8	4	3	4	0	4	0	NA	0	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	1,061237968	0,205724178	0,20310096	-0,577027156	-1,102066688	-0,918331821	0
Ale001	1	Bockemossen	17	2	22,2	2	3,5	4	4	1	0	NA	1	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,263314684	-0,849271606	0,20310096	0,486617371	-0,325963387	1,078041703	0,704225352
Ale001	1	Bockemossen	18	2	28	5	3,4	5	7	2	2	NA	1	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	1,269391868	0,73322207	1,049354961	1,284350767	-0,325963387	1,078041703	0,704225352
