predator	LokalID	Lokal	Individ	n_shoots	h_shoot	n_fl	phen_index	most_adv	n_intact_fruits
0	Ale010	Stora Kroksjön Ö stranden	1	1	27,6	1	2	2	1
0	Ale010	Stora Kroksjön Ö stranden	2	2	15,6	1	1	1	0
0	Ale010	Stora Kroksjön Ö stranden	3	1	19,8	1	1	1	0
0	Ale010	Stora Kroksjön Ö stranden	4	1	20,6	1	1	1	1
0	Ale010	Stora Kroksjön Ö stranden	5	1	30,2	3	2,666666667	4	0
0	Ale010	Stora Kroksjön Ö stranden	6	3	20,6	2	2	3	1
0	Ale010	Stora Kroksjön Ö stranden	7	1	20,5	1	2	2	0
0	Ale010	Stora Kroksjön Ö stranden	8	3	18,2	1	2	2	0
0	Ale010	Stora Kroksjön Ö stranden	9	1	22	2	1,5	2	0
0	Ale010	Stora Kroksjön Ö stranden	10	1	31,7	5	3	5	0
0	Ale010	Stora Kroksjön Ö stranden	11	1	35,1	3	3,333333333	4	3
0	Ale010	Stora Kroksjön Ö stranden	12	1	19,2	2	3,5	5	0
0	Ale010	Stora Kroksjön Ö stranden	13	1	20,3	1	1	1	0
0	Ale010	Stora Kroksjön Ö stranden	14	1	18,6	3	1	1	0
0	Ale010	Stora Kroksjön Ö stranden	15	1	15,4	1	3	3	1
0	Ale010	Stora Kroksjön Ö stranden	16	1	22,9	2	2,5	4	1
0	Ale010	Stora Kroksjön Ö stranden	17	2	12	1	1	1	0
0	Ale010	Stora Kroksjön Ö stranden	18	2	15,3	1	1	1	0
0	Ale010	Stora Kroksjön Ö stranden	19	1	13,5	1	2	2	1
0	Ale010	Stora Kroksjön Ö stranden	20	2	19,7	1	2	2	1
0	Ale010	Stora Kroksjön Ö stranden	21	1	17,6	1	2	2	0
0	Ale010	Stora Kroksjön Ö stranden	22	1	29,2	1	2	2	0
0	Ale010	Stora Kroksjön Ö stranden	23	1	22	1	3	3	2
0	Ale010	Stora Kroksjön Ö stranden	24	1	25,6	3	2,666666667	4	3
0	Ale010	Stora Kroksjön Ö stranden	25	2	16,4	1	1	1	0
0	Ale010	Stora Kroksjön Ö stranden	26	1	28,5	2	3	4	0
0	Ale010	Stora Kroksjön Ö stranden	27	2	30,2	1	1	1	0
