Predator	LokalID	Lokal	Individ	n_shoots	h_shoot	n_fl	phen_index	most_adv	n_intact_fruits
0	Ale010	Stora Kroksjön Ö stranden	1	1	26,6	2	3,5	5	1
0	Ale010	Stora Kroksjön Ö stranden	2	1	16,7	1	4	4	0
0	Ale010	Stora Kroksjön Ö stranden	3	1	27,7	1	4	4	1
0	Ale010	Stora Kroksjön Ö stranden	4	2	14,2	1	1	1	0
0	Ale010	Stora Kroksjön Ö stranden	5	2	17	2	1,5	2	0
0	Ale010	Stora Kroksjön Ö stranden	6	1	12,4	1	1	1	0
0	Ale010	Stora Kroksjön Ö stranden	7	2	15	1	3	3	1
0	Ale010	Stora Kroksjön Ö stranden	8	3	10,7	1	2	2	0
0	Ale010	Stora Kroksjön Ö stranden	9	3	13,1	2	2	2	0
0	Ale010	Stora Kroksjön Ö stranden	10	2	11,1	1	1	1	0
0	Ale010	Stora Kroksjön Ö stranden	11	1	20,6	1	2	2	0
0	Ale010	Stora Kroksjön Ö stranden	12	3	16,2	1	4	4	0
0	Ale010	Stora Kroksjön Ö stranden	13	1	15,7	1	3	3	0
0	Ale010	Stora Kroksjön Ö stranden	14	1	25,6	2	2,5	3	1
0	Ale010	Stora Kroksjön Ö stranden	15	4	14,6	1	2	2	0
0	Ale010	Stora Kroksjön Ö stranden	16	1	23	1	5	5	0
0	Ale010	Stora Kroksjön Ö stranden	17	1	16	1	3	3	1
0	Ale010	Stora Kroksjön Ö stranden	18	2	15,5	1	4	4	0
0	Ale010	Stora Kroksjön Ö stranden	19	1	12,8	1	4	4	0
0	Ale010	Stora Kroksjön Ö stranden	20	1	19,2	1	5	5	1
0	Ale010	Stora Kroksjön Ö stranden	21	1	14,2	1	2	2	1
0	Ale010	Stora Kroksjön Ö stranden	22	1	23,1	1	5	5	1
0	Ale010	Stora Kroksjön Ö stranden	23	2	27,7	3	4,666666667	5	2
0	Ale010	Stora Kroksjön Ö stranden	24	1	22,8	1	5	5	1
0	Ale010	Stora Kroksjön Ö stranden	25	1	32	1	3	3	0
0	Ale010	Stora Kroksjön Ö stranden	26	2	23,6	1	3	3	1
