LokalID	logants	year	meaneggs	propattack
Ale001	0,50077529	2010	0,51	19
Ale001	0,50077529	2011	2,17	46
Göt009a	-0,9162907	2010	0,32	15
Göt009a	-0,9162907	2011	1,88	51
Göt009b	1,02065075	2010	0,27	9
Göt009b	1,02065075	2011	0,92	33
Göt016	1,13943428	2010	0,01980198	1
Göt016	1,13943428	2011	0,32	12
Her003	0,02469261	2010	0,94	35
Her003	0,02469261	2011	2,16	44
Her004	1,40487075	2010	2,68	46
Her004	1,40487075	2011	3,32	47
Her005	1,83657349	2010	0,87	27
Her005	1,83657349	2011	1,72	31
Ler010	-1,2909842	2010	3,22	61
Ler010	-1,2909842	2011	5,4	58
Par003	0,13976194	2010	4,6	64
Par003	0,13976194	2011	12,47	61
Vår004	1,22377543	2010	3,99	57
Vår004	1,22377543	2011	7,7	67
Vår009	2,30508197	2010	0,595	35
Vår009	2,30508197	2011	3,24	45
