pop	ants_10	ants_11	pred	ants_mean	ants_max	area
Ale001	9	65	1	37	65	10,16217
Ale010	8	30	0	19	30	0,67673
Bor012	0	15	0	7,5	15	0,07016
Göt009a	0	15	1	7,5	15	19,88336
Göt009b	7	110	1	58,5	110	19,88336
Göt016	62	95	1	78,5	95	10,30382
Her003	7	40	1	23,5	40	0,8991
Her004	81	45	1	63	81	0,95444
Her005	125	90	1	107,5	125	0,49405
Ler010	5	5	1	5	5	2,70857
Mar001	379	375	0	377	379	0,02214
Par003	3	45	1	24	45	5,79766
Sve001	1	0	0	0,5	1	0,12964
Sve005	0	0	0	0	0	0,43093
Sve011	0	5	0	2,5	5	0,0136
Sve013	3	5	0	4	5	0,64546
Tra001	22	80	0	51	80	2,50833
Tra002	0	5	0	2,5	5	0,13138
Vår004	24	135	1	79,5	135	0,07796
Vår009	200	145	1	172,5	200	5,34991
