pop	ants_10	ants_11	pred	ants_mean	ants_max	area
Ale001	0,45	1,625	1	1,0375	1,625	10,16217
Ale010	0,4	0,75	0	0,575	0,75	0,67673
Bor012	0	0,375	0	0,1875	0,375	0,07016
Göt009a	0	0,375	1	0,1875	0,375	19,88336
Göt009b	0,35	2,75	1	1,55	2,75	19,88336
Göt016	3,1	2,375	1	2,7375	3,1	10,30382
Her003	0,35	1	1	0,675	1	0,8991
Her004	4,05	1,125	1	2,5875	4,05	0,95444
Her005	6,25	2,25	1	4,25	6,25	0,49405
Ler010	0,25	0,125	1	0,1875	0,25	2,70857
Mar001	18,95	9,375	0	14,1625	18,95	0,02214
Par003	0,15	1,125	1	0,6375	1,125	5,79766
Sve001	0,05	0	0	0,025	0,05	0,12964
Sve005	0	0	0	0	0	0,43093
Sve011	0	0,125	0	0,0625	0,125	0,0136
Sve013	0,15	0,125	0	0,1375	0,15	0,64546
Tra001	1,1	2	0	1,55	2	2,50833
Tra002	0	0,125	0	0,0625	0,125	0,13138
Vår004	1,2	3,375	1	2,2875	3,375	0,07796
Vår009	10	3,625	1	6,8125	10	5,34991
