predator	LokalID	Lokal	Individ	n_shoots	h_shoot	n_fl	phen_index	most_adv	n_eggs	n_pred_all	n_aborted_all	perc_undeveloped	n_intact_fruits	n_seeds	attack	year	ants_10	ants_11	pred	ants_mean	ants_max	logants	area	Mean(n_shoots)	Mean(h_shoot)	Mean(n_fl)	Mean(phen_index)	Mean(most_adv)	Mean(n_eggs)	Std Dev(n_shoots)	Std Dev(h_shoot)	Std Dev(n_fl)	Std Dev(phen_index)	Std Dev(most_adv)	Std Dev(n_eggs)	Mean(n_intact_fruits)	n_shoots_sta	h_shoot_sta	n_fl_sta	phen_index_sta	most_adv_sta	n_eggs_sta	n_intact_fruits_rel
1	Ale001	Bockemossen	1	6	17,2	5	4	5	0	2	0	40	1	800	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	0,86895272	-0,4343016	1,30778175	1,9213232	1,72707943	-0,4129654	1,04166667
1	Ale001	Bockemossen	2	4	28,6	7	2,14285714	3	0	2	0	100	5	225	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	0,24604754	1,53117612	2,57747277	-0,3676957	-0,2134593	-0,4129654	5,20833333
1	Ale001	Bockemossen	3	5	12,4	3	2	4	0	0	0	NA	2	590	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	0,55750013	-1,2618712	0,03809073	-0,543774	0,75681009	-0,4129654	2,08333333
1	Ale001	Bockemossen	4	3	27	3	2,33333333	3	0	1	0	NA	2	970	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,065405	1,25531959	0,03809073	-0,1329245	-0,2134593	-0,4129654	2,08333333
1	Ale001	Bockemossen	5	12	10,2	2	1,5	2	0	0	0	NA	1	NA	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	2,73766824	-1,6411739	-0,5967548	-1,1600483	-1,1837286	-0,4129654	1,04166667
1	Ale001	Bockemossen	6	6	14,3	2	3,5	5	0	0	0	NA	2	620	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	0,86895272	-0,9342916	-0,5967548	1,30504889	1,72707943	-0,4129654	2,08333333
1	Ale001	Bockemossen	7	3	17,8	3	4	5	0	0	0	NA	0	NA	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,065405	-0,3308554	0,03809073	1,9213232	1,72707943	-0,4129654	0
1	Ale001	Bockemossen	8	2	15,7	2	2	3	0	1	0	NA	0	NA	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,3768576	-0,6929171	-0,5967548	-0,543774	-0,2134593	-0,4129654	0
1	Ale001	Bockemossen	9	2	19	5	3,8	5	3	4	0	NA	0	NA	1	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,3768576	-0,123963	1,30778175	1,67481347	1,72707943	2,0162429	0
1	Ale001	Bockemossen	10	8	17,8	3	2,66666667	4	0	1	0	100	1	470	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	1,49185789	-0,3308554	0,03809073	0,27792504	0,75681009	-0,4129654	1,04166667
1	Ale001	Bockemossen	11	3	10	1	4	4	0	1	0	NA	0	NA	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,065405	-1,675656	-1,2316003	1,9213232	0,75681009	-0,4129654	0
