Lokal	Individ	n_fl	phen_index	most_adv	n_shoots	h_shoot	n_eggs	n_intact_fruits
Tånga hed	1	6	3,666666667	5	2	23,5	25	0
Tånga hed	2	4	2,75	4	2	27,1	1	3
Tånga hed	3	9	4,333333333	5	4	28,8	0	6
Tånga hed	4	5	3,6	5	3	32,9	10	1
Tånga hed	5	3	3,666666667	5	2	21,1	5	1
Tånga hed	6	3	2,333333333	3	1	19,3	2	2
Tånga hed	7	9	3,444444444	5	3	29,4	2	6
Tånga hed	8	4	2,25	4	4	24,7	4	1
Tånga hed	9	2	2	3	2	22,5	1	0
Tånga hed	10	1	3	3	2	16,16	1	0
Tånga hed	11	1	2	2	2	12,4	0	1
Tånga hed	12	4	1,75	3	2	19,8	0	1
Tånga hed	13	3	2,666666667	4	3	16,2	2	0
Tånga hed	14	1	3	3	2	18,4	2	0
Tånga hed	15	1	3	3	2	21,2	0	0
Tånga hed	16	7	3,285714286	5	4	26,1	1	5
Tånga hed	17	5	2,2	4	1	30,2	0	3
Tånga hed	18	1	3	3	1	13,3	0	1
Tånga hed	19	2	1,5	2	2	13,4	0	2
Tånga hed	20	3	2,333333333	3	2	23,9	0	3
Tånga hed	21	6	2,5	4	2	17,4	0	3
Tånga hed	22	2	2,5	3	2	13,6	0	2
Tånga hed	23	5	4,4	5	5	19,9	1	5
Tånga hed	24	5	3,2	4	2	28,4	1	2
Tånga hed	25	3	2	3	2	19,4	1	2
Tånga hed	26	4	2,75	4	2	24,1	0	4
Tånga hed	27	3	3	4	5	18,3	0	3
Tånga hed	28	5	1,6	3	2	20,3	0	3
Tånga hed	29	2	3,5	4	2	23,2	0	2
Tånga hed	30	5	3	4	2	21,1	0	2
Tånga hed	31	2	3	4	3	12,5	0	1
Tånga hed	32	4	2,25	3	5	20,6	0	4
Tånga hed	33	5	3,4	5	4	25,3	0	4
Tånga hed	34	4	2,25	3	1	26,3	0	4
Tånga hed	35	4	3,75	5	2	22,2	0	5
Tånga hed	36	3	1,666666667	2	1	15,9	0	3
Tånga hed	37	2	1,5	2	1	19,1	0	2
Tånga hed	38	4	3,75	5	2	19,8	0	4
Tånga hed	39	5	2,8	4	3	22,4	0	5
Tånga hed	40	11	3	5	2	25,4	0	9
Tånga hed	41	6	2,833333333	5	3	25,5	0	1
