LokalID	date	date_julian	year	apply_to_phen_1ago
Ale001	30/07/2010	211	2010	0,285714286
Ale010	04/08/2010	216	2010	-0,428571429
Bor012	29/07/2010	210	2010	0,428571429
Göt009a	31/07/2010	212	2010	0,142857143
Göt009b	31/07/2010	212	2010	0,142857143
Göt016	02/08/2010	214	2010	-0,142857143
Her003	01/08/2010	213	2010	0
Her004	01/08/2010	213	2010	0
Her005	01/08/2010	213	2010	0
Ler010	05/08/2010	217	2010	-0,571428571
Mar001	03/08/2010	215	2010	-0,285714286
Par003	02/08/2010	214	2010	-0,142857143
Sve001	27/07/2010	208	2010	0,714285714
Sve005	27/07/2010	208	2010	0,714285714
Sve011	27/07/2010	208	2010	0,714285714
Sve013	29/07/2010	210	2010	0,428571429
Tra001	03/08/2010	215	2010	-0,285714286
Tra002	03/08/2010	215	2010	-0,285714286
Vår004	28/07/2010	209	2010	0,571428571
Vår009	28/07/2010	209	2010	0,571428571
Ale001	23/07/2011	204	2011	1,285714286
Ale010	08/08/2011	220	2011	-1
Bor012	09/08/2011	221	2011	-1,142857143
Göt009a	24/07/2011	205	2011	1,142857143
Göt009b	24/07/2011	205	2011	1,142857143
Göt016	26/07/2011	207	2011	0,857142857
Her003	27/07/2011	208	2011	0,714285714
Her004	27/07/2011	208	2011	0,714285714
Her005	27/07/2011	208	2011	0,714285714
Ler010	24/07/2011	205	2011	1,142857143
Mar001	09/08/2011	221	2011	-1,142857143
Par003	25/07/2011	206	2011	1
Sve001	22/07/2011	203	2011	1,428571429
Sve005	22/07/2011	203	2011	1,428571429
Sve011	21/07/2011	202	2011	1,571428571
Sve013	21/07/2011	202	2011	1,571428571
Tra001	28/07/2011	209	2011	0,571428571
Tra002	28/07/2011	209	2011	0,571428571
Vår004	20/07/2011	201	2011	1,714285714
Vår009	20/07/2011	201	2011	1,714285714
