predator	LokalID	Individ	most_adv	year	Datum
1	Ale001	1	5	2010	30/07/2010
1	Ale001	2	3	2010	30/07/2010
1	Ale001	3	4	2010	30/07/2010
1	Ale001	4	3	2010	30/07/2010
1	Ale001	5	2	2010	30/07/2010
1	Ale001	6	5	2010	30/07/2010
1	Ale001	7	5	2010	30/07/2010
1	Ale001	8	3	2010	30/07/2010
1	Ale001	9	5	2010	30/07/2010
1	Ale001	10	4	2010	30/07/2010
1	Ale001	11	4	2010	30/07/2010
1	Ale001	12	4	2010	30/07/2010
1	Ale001	13	5	2010	30/07/2010
1	Ale001	14	4	2010	30/07/2010
1	Ale001	15	4	2010	30/07/2010
1	Ale001	16	5	2010	30/07/2010
1	Ale001	17	4	2010	30/07/2010
1	Ale001	18	4	2010	30/07/2010
1	Ale001	19	3	2010	30/07/2010
1	Ale001	20	4	2010	30/07/2010
1	Ale001	21	4	2010	30/07/2010
1	Ale001	22	2	2010	30/07/2010
1	Ale001	23	1	2010	30/07/2010
1	Ale001	24	3	2010	30/07/2010
1	Ale001	25	1	2010	30/07/2010
1	Ale001	26	3	2010	30/07/2010
1	Ale001	27	4	2010	30/07/2010
1	Ale001	28	4	2010	30/07/2010
1	Ale001	29	2	2010	30/07/2010
1	Ale001	30	4	2010	30/07/2010
1	Ale001	31	4	2010	30/07/2010
1	Ale001	32	4	2010	30/07/2010
1	Ale001	33	4	2010	30/07/2010
1	Ale001	34	3	2010	30/07/2010
1	Ale001	35	3	2010	30/07/2010
1	Ale001	36	3	2010	30/07/2010
1	Ale001	37	3	2010	30/07/2010
1	Ale001	38	2	2010	30/07/2010
1	Ale001	39	5	2010	30/07/2010
1	Ale001	40	3	2010	30/07/2010
1	Ale001	41	3	2010	30/07/2010
1	Ale001	42	4	2010	30/07/2010
1	Ale001	43	1	2010	30/07/2010
1	Ale001	44	3	2010	30/07/2010
1	Ale001	45	4	2010	30/07/2010
1	Ale001	46	3	2010	30/07/2010
1	Ale001	47	1	2010	30/07/2010
1	Ale001	48	3	2010	30/07/2010
1	Ale001	49	2	2010	30/07/2010
1	Ale001	50	2	2010	30/07/2010
1	Ale001	51	4	2010	30/07/2010
1	Ale001	52	3	2010	30/07/2010
1	Ale001	53	4	2010	30/07/2010
1	Ale001	54	4	2010	30/07/2010
1	Ale001	55	3	2010	30/07/2010
1	Ale001	56	4	2010	30/07/2010
1	Ale001	57	3	2010	30/07/2010
1	Ale001	58	4	2010	30/07/2010
1	Ale001	59	2	2010	30/07/2010
1	Ale001	60	3	2010	30/07/2010
1	Ale001	61	4	2010	30/07/2010
1	Ale001	62	5	2010	30/07/2010
1	Ale001	63	4	2010	30/07/2010
1	Ale001	64	5	2010	30/07/2010
1	Ale001	65	4	2010	30/07/2010
1	Ale001	66	4	2010	30/07/2010
1	Ale001	67	4	2010	30/07/2010
1	Ale001	68	3	2010	30/07/2010
1	Ale001	69	3	2010	30/07/2010
1	Ale001	70	3	2010	30/07/2010
1	Ale001	71	4	2010	30/07/2010
1	Ale001	72	1	2010	30/07/2010
1	Ale001	73	3	2010	30/07/2010
1	Ale001	74	2	2010	30/07/2010
1	Ale001	75	2	2010	30/07/2010
1	Ale001	76	3	2010	30/07/2010
1	Ale001	77	2	2010	30/07/2010
1	Ale001	78	2	2010	30/07/2010
1	Ale001	79	3	2010	30/07/2010
1	Ale001	80	3	2010	30/07/2010
1	Ale001	81	3	2010	30/07/2010
1	Ale001	82	3	2010	30/07/2010
1	Ale001	83	3	2010	30/07/2010
1	Ale001	84	3	2010	30/07/2010
1	Ale001	85	3	2010	30/07/2010
1	Ale001	86	2	2010	30/07/2010
1	Ale001	87	2	2010	30/07/2010
1	Ale001	88	5	2010	30/07/2010
1	Ale001	89	3	2010	30/07/2010
1	Ale001	90	3	2010	30/07/2010
1	Ale001	91	2	2010	30/07/2010
1	Ale001	92	2	2010	30/07/2010
1	Ale001	93	1	2010	30/07/2010
1	Ale001	94	2	2010	30/07/2010
1	Ale001	95	3	2010	30/07/2010
1	Ale001	96	3	2010	30/07/2010
1	Ale001	97	4	2010	30/07/2010
1	Ale001	98	3	2010	30/07/2010
1	Ale001	99	3	2010	30/07/2010
1	Ale001	100	3	2010	30/07/2010
0	Ale010	1	2	2010	04/08/2010
0	Ale010	2	1	2010	04/08/2010
0	Ale010	3	1	2010	04/08/2010
0	Ale010	4	1	2010	04/08/2010
0	Ale010	5	4	2010	04/08/2010
0	Ale010	6	3	2010	04/08/2010
0	Ale010	7	2	2010	04/08/2010
0	Ale010	8	2	2010	04/08/2010
0	Ale010	9	2	2010	04/08/2010
0	Ale010	10	5	2010	04/08/2010
0	Ale010	11	4	2010	04/08/2010
0	Ale010	12	5	2010	04/08/2010
0	Ale010	13	1	2010	04/08/2010
0	Ale010	14	1	2010	04/08/2010
0	Ale010	15	3	2010	04/08/2010
0	Ale010	16	4	2010	04/08/2010
0	Ale010	17	1	2010	04/08/2010
0	Ale010	18	1	2010	04/08/2010
0	Ale010	19	2	2010	04/08/2010
0	Ale010	20	2	2010	04/08/2010
0	Ale010	21	2	2010	04/08/2010
0	Ale010	22	2	2010	04/08/2010
0	Ale010	23	3	2010	04/08/2010
0	Ale010	24	4	2010	04/08/2010
0	Ale010	25	1	2010	04/08/2010
0	Ale010	26	4	2010	04/08/2010
0	Ale010	27	1	2010	04/08/2010
0	Ale010	28	3	2010	04/08/2010
0	Ale010	29	2	2010	04/08/2010
0	Ale010	30	2	2010	04/08/2010
0	Ale010	31	1	2010	04/08/2010
0	Ale010	32	1	2010	04/08/2010
0	Ale010	33	1	2010	04/08/2010
0	Ale010	34	1	2010	04/08/2010
0	Ale010	35	2	2010	04/08/2010
0	Ale010	36	2	2010	04/08/2010
0	Ale010	37	2	2010	04/08/2010
0	Ale010	38	1	2010	04/08/2010
0	Ale010	39	2	2010	04/08/2010
0	Ale010	40	4	2010	04/08/2010
0	Ale010	41	5	2010	04/08/2010
0	Ale010	42	2	2010	04/08/2010
0	Ale010	43	3	2010	04/08/2010
0	Ale010	44	2	2010	04/08/2010
0	Ale010	45	3	2010	04/08/2010
0	Ale010	46	3	2010	04/08/2010
0	Ale010	47	2	2010	04/08/2010
0	Ale010	48	2	2010	04/08/2010
0	Ale010	49	4	2010	04/08/2010
0	Ale010	50	2	2010	04/08/2010
0	Ale010	51	2	2010	04/08/2010
0	Ale010	52	2	2010	04/08/2010
0	Ale010	53	4	2010	04/08/2010
0	Ale010	54	2	2010	04/08/2010
0	Ale010	55	4	2010	04/08/2010
0	Ale010	56	4	2010	04/08/2010
0	Ale010	57	3	2010	04/08/2010
0	Ale010	58	2	2010	04/08/2010
0	Ale010	59	2	2010	04/08/2010
0	Ale010	60	1	2010	04/08/2010
0	Ale010	61	4	2010	04/08/2010
0	Ale010	62	1	2010	04/08/2010
0	Ale010	63	3	2010	04/08/2010
0	Ale010	64	2	2010	04/08/2010
0	Ale010	65	1	2010	04/08/2010
0	Ale010	66	4	2010	04/08/2010
0	Ale010	67	2	2010	04/08/2010
0	Ale010	68	2	2010	04/08/2010
0	Ale010	69	1	2010	04/08/2010
0	Ale010	70	4	2010	04/08/2010
0	Ale010	71	3	2010	04/08/2010
0	Ale010	72	1	2010	04/08/2010
0	Ale010	73	1	2010	04/08/2010
0	Ale010	74	1	2010	04/08/2010
0	Ale010	75	1	2010	04/08/2010
0	Ale010	76	2	2010	04/08/2010
0	Ale010	77	1	2010	04/08/2010
0	Ale010	78	3	2010	04/08/2010
0	Ale010	79	1	2010	04/08/2010
0	Ale010	80	2	2010	04/08/2010
0	Ale010	81	1	2010	04/08/2010
0	Ale010	82	1	2010	04/08/2010
0	Ale010	83	2	2010	04/08/2010
0	Ale010	84	2	2010	04/08/2010
0	Ale010	85	1	2010	04/08/2010
0	Ale010	86	1	2010	04/08/2010
0	Ale010	87	3	2010	04/08/2010
0	Ale010	88	2	2010	04/08/2010
0	Ale010	89	2	2010	04/08/2010
0	Ale010	90	3	2010	04/08/2010
0	Ale010	91	1	2010	04/08/2010
0	Ale010	92	1	2010	04/08/2010
0	Ale010	93	1	2010	04/08/2010
0	Ale010	94	2	2010	04/08/2010
0	Ale010	95	3	2010	04/08/2010
0	Ale010	96	3	2010	04/08/2010
0	Ale010	97	1	2010	04/08/2010
0	Ale010	98	1	2010	04/08/2010
0	Ale010	99	1	2010	04/08/2010
0	Ale010	100	3	2010	04/08/2010
0	Bor012	1	5	2010	29/07/2010
0	Bor012	2	2	2010	29/07/2010
0	Bor012	3	1	2010	29/07/2010
0	Bor012	4	3	2010	29/07/2010
0	Bor012	5	1	2010	29/07/2010
0	Bor012	6	1	2010	29/07/2010
0	Bor012	7	5	2010	29/07/2010
0	Bor012	8	2	2010	29/07/2010
0	Bor012	9	2	2010	29/07/2010
0	Bor012	10	1	2010	29/07/2010
0	Bor012	11	3	2010	29/07/2010
0	Bor012	12	3	2010	29/07/2010
0	Bor012	13	3	2010	29/07/2010
0	Bor012	14	2	2010	29/07/2010
0	Bor012	15	4	2010	29/07/2010
0	Bor012	16	5	2010	29/07/2010
0	Bor012	17	2	2010	29/07/2010
0	Bor012	18	4	2010	29/07/2010
0	Bor012	19	3	2010	29/07/2010
0	Bor012	20	3	2010	29/07/2010
0	Bor012	21	3	2010	29/07/2010
0	Bor012	22	3	2010	29/07/2010
0	Bor012	23	2	2010	29/07/2010
0	Bor012	24	2	2010	29/07/2010
0	Bor012	25	5	2010	29/07/2010
0	Bor012	26	4	2010	29/07/2010
0	Bor012	27	4	2010	29/07/2010
0	Bor012	28	4	2010	29/07/2010
0	Bor012	29	2	2010	29/07/2010
0	Bor012	30	5	2010	29/07/2010
0	Bor012	31	1	2010	29/07/2010
0	Bor012	32	4	2010	29/07/2010
0	Bor012	33	2	2010	29/07/2010
0	Bor012	34	5	2010	29/07/2010
0	Bor012	35	5	2010	29/07/2010
0	Bor012	36	4	2010	29/07/2010
0	Bor012	37	2	2010	29/07/2010
0	Bor012	38	1	2010	29/07/2010
0	Bor012	39	4	2010	29/07/2010
0	Bor012	40	4	2010	29/07/2010
0	Bor012	41	3	2010	29/07/2010
0	Bor012	42	4	2010	29/07/2010
0	Bor012	43	2	2010	29/07/2010
0	Bor012	44	3	2010	29/07/2010
0	Bor012	45	3	2010	29/07/2010
0	Bor012	46	3	2010	29/07/2010
0	Bor012	47	3	2010	29/07/2010
0	Bor012	48	2	2010	29/07/2010
0	Bor012	49	5	2010	29/07/2010
0	Bor012	50	2	2010	29/07/2010
0	Bor012	51	4	2010	29/07/2010
0	Bor012	52	3	2010	29/07/2010
0	Bor012	53	1	2010	29/07/2010
0	Bor012	54	5	2010	29/07/2010
0	Bor012	55	1	2010	29/07/2010
0	Bor012	56	4	2010	29/07/2010
0	Bor012	57	1	2010	29/07/2010
0	Bor012	58	2	2010	29/07/2010
0	Bor012	59	1	2010	29/07/2010
0	Bor012	60	4	2010	29/07/2010
0	Bor012	61	4	2010	29/07/2010
0	Bor012	62	4	2010	29/07/2010
0	Bor012	63	2	2010	29/07/2010
0	Bor012	64	3	2010	29/07/2010
0	Bor012	65	1	2010	29/07/2010
0	Bor012	66	4	2010	29/07/2010
0	Bor012	67	4	2010	29/07/2010
0	Bor012	68	4	2010	29/07/2010
0	Bor012	69	4	2010	29/07/2010
0	Bor012	70	4	2010	29/07/2010
0	Bor012	71	4	2010	29/07/2010
0	Bor012	72	4	2010	29/07/2010
0	Bor012	73	3	2010	29/07/2010
0	Bor012	74	4	2010	29/07/2010
0	Bor012	75	4	2010	29/07/2010
0	Bor012	76	2	2010	29/07/2010
0	Bor012	77	1	2010	29/07/2010
0	Bor012	78	4	2010	29/07/2010
0	Bor012	79	3	2010	29/07/2010
0	Bor012	80	4	2010	29/07/2010
0	Bor012	81	4	2010	29/07/2010
0	Bor012	82	3	2010	29/07/2010
0	Bor012	83	4	2010	29/07/2010
0	Bor012	84	1	2010	29/07/2010
0	Bor012	85	3	2010	29/07/2010
0	Bor012	86	1	2010	29/07/2010
0	Bor012	87	2	2010	29/07/2010
0	Bor012	88	1	2010	29/07/2010
0	Bor012	89	3	2010	29/07/2010
0	Bor012	90	2	2010	29/07/2010
0	Bor012	91	3	2010	29/07/2010
0	Bor012	92	2	2010	29/07/2010
0	Bor012	93	3	2010	29/07/2010
0	Bor012	94	2	2010	29/07/2010
0	Bor012	95	5	2010	29/07/2010
0	Bor012	96	5	2010	29/07/2010
0	Bor012	97	1	2010	29/07/2010
0	Bor012	98	1	2010	29/07/2010
0	Bor012	99	2	2010	29/07/2010
0	Bor012	100	3	2010	29/07/2010
1	Göt009a	1	3	2010	31/07/2010
1	Göt009a	2	1	2010	31/07/2010
1	Göt009a	3	2	2010	31/07/2010
1	Göt009a	4	1	2010	31/07/2010
1	Göt009a	5	2	2010	31/07/2010
1	Göt009a	6	1	2010	31/07/2010
1	Göt009a	7	2	2010	31/07/2010
1	Göt009a	8	1	2010	31/07/2010
1	Göt009a	9	3	2010	31/07/2010
1	Göt009a	10	1	2010	31/07/2010
1	Göt009a	11	4	2010	31/07/2010
1	Göt009a	12	4	2010	31/07/2010
1	Göt009a	13	2	2010	31/07/2010
1	Göt009a	14	3	2010	31/07/2010
1	Göt009a	15	1	2010	31/07/2010
1	Göt009a	16	1	2010	31/07/2010
1	Göt009a	17	3	2010	31/07/2010
1	Göt009a	18	1	2010	31/07/2010
1	Göt009a	19	4	2010	31/07/2010
1	Göt009a	20	2	2010	31/07/2010
1	Göt009a	21	4	2010	31/07/2010
1	Göt009a	22	3	2010	31/07/2010
1	Göt009a	23	1	2010	31/07/2010
1	Göt009a	24	1	2010	31/07/2010
1	Göt009a	25	1	2010	31/07/2010
1	Göt009a	26	3	2010	31/07/2010
1	Göt009a	27	3	2010	31/07/2010
1	Göt009a	28	2	2010	31/07/2010
1	Göt009a	29	1	2010	31/07/2010
1	Göt009a	30	1	2010	31/07/2010
1	Göt009a	31	3	2010	31/07/2010
1	Göt009a	32	1	2010	31/07/2010
1	Göt009a	33	3	2010	31/07/2010
1	Göt009a	34	2	2010	31/07/2010
1	Göt009a	35	4	2010	31/07/2010
1	Göt009a	36	4	2010	31/07/2010
1	Göt009a	37	4	2010	31/07/2010
1	Göt009a	38	1	2010	31/07/2010
1	Göt009a	39	2	2010	31/07/2010
1	Göt009a	40	3	2010	31/07/2010
1	Göt009a	41	1	2010	31/07/2010
1	Göt009a	42	5	2010	31/07/2010
1	Göt009a	43	2	2010	31/07/2010
1	Göt009a	44	2	2010	31/07/2010
1	Göt009a	45	2	2010	31/07/2010
1	Göt009a	46	3	2010	31/07/2010
1	Göt009a	47	2	2010	31/07/2010
1	Göt009a	48	4	2010	31/07/2010
1	Göt009a	49	3	2010	31/07/2010
1	Göt009a	50	3	2010	31/07/2010
1	Göt009a	51	4	2010	31/07/2010
1	Göt009a	52	5	2010	31/07/2010
1	Göt009a	53	4	2010	31/07/2010
1	Göt009a	54	2	2010	31/07/2010
1	Göt009a	55	3	2010	31/07/2010
1	Göt009a	56	1	2010	31/07/2010
1	Göt009a	57	4	2010	31/07/2010
1	Göt009a	58	1	2010	31/07/2010
1	Göt009a	59	4	2010	31/07/2010
1	Göt009a	60	2	2010	31/07/2010
1	Göt009a	61	3	2010	31/07/2010
1	Göt009a	62	3	2010	31/07/2010
1	Göt009a	63	2	2010	31/07/2010
1	Göt009a	64	5	2010	31/07/2010
1	Göt009a	65	4	2010	31/07/2010
1	Göt009a	66	3	2010	31/07/2010
1	Göt009a	67	2	2010	31/07/2010
1	Göt009a	68	4	2010	31/07/2010
1	Göt009a	69	2	2010	31/07/2010
1	Göt009a	70	4	2010	31/07/2010
1	Göt009a	71	4	2010	31/07/2010
1	Göt009a	72	4	2010	31/07/2010
1	Göt009a	73	4	2010	31/07/2010
1	Göt009a	74	4	2010	31/07/2010
1	Göt009a	75	2	2010	31/07/2010
1	Göt009a	76	2	2010	31/07/2010
1	Göt009a	77	2	2010	31/07/2010
1	Göt009a	78	2	2010	31/07/2010
1	Göt009a	79	3	2010	31/07/2010
1	Göt009a	80	2	2010	31/07/2010
1	Göt009a	81	3	2010	31/07/2010
1	Göt009a	82	1	2010	31/07/2010
