"Estimate"	"Std..Error"	"t.value"	"Pr...t.."	"sig"
"(Intercept)"	1.66	0.0987473284966177	16.8105813622782	3.20969211137306e-30	"*"
"phen_index"	0.214712932610641	0.10024965814663	2.14178219238007	0.0347687220744616	"*"
"n_fl"	0.672100065281461	0.12863811695925	5.22473494768558	1.02955917478566e-06	"*"
"n_shoots"	-0.147255963155652	0.10027788758758	-1.4684789109368	0.145277638571171	""
"h_shoot"	0.147936109990951	0.129719413107114	1.14043153948588	0.256973520794689	""
"(Intercept)1"	1.54	0.0958589924160371	16.0652637920108	7.86167342894724e-29	"*"
"phen_index1"	0.0470194670221547	0.100446572786034	0.468104244057316	0.640782230365919	""
"n_fl1"	0.631637672442746	0.111443273650165	5.66779538822182	1.54645988860872e-07	"*"
"n_shoots1"	-0.0434688605686558	0.097176407599053	-0.447319073040928	0.655662953317591	""
"h_shoot1"	0.0426503324887824	0.112592626950734	0.378802179537427	0.705680036095257	""
"(Intercept)2"	1.12	0.0930814435037526	12.0324734752835	8.30455575067321e-21	"*"
"phen_index2"	0.00638584223626427	0.097961629425473	0.0651871786302051	0.948161949191512	""
"n_fl2"	0.0389046289219105	0.106327715717144	0.365893583432241	0.715257994512092	""
"n_shoots2"	0.0225197590760594	0.0994445434673853	0.226455452364213	0.821333746823256	""
"h_shoot2"	0.333996177006051	0.107060273678839	3.11970225303158	0.00239726667645773	"*"
"(Intercept)3"	1.61	0.0937934374650634	17.165380046975	7.17789278382078e-31	"*"
"phen_index3"	-0.0073080594325397	0.0968719205221386	-0.0754404309644048	0.940022929858615	""
"n_fl3"	0.610743648427945	0.0953303423946508	6.40660290403211	5.67995313977992e-09	"*"
"n_shoots3"	0.198729818887655	0.0966508042889567	2.05616311576169	0.0425095948681221	"*"
"h_shoot3"	0.0230547785917655	0.0956415569056468	0.241053986757135	0.810032766115178	""
"(Intercept)4"	2.48	0.0904027696815379	27.4327878309072	6.18036126382111e-47	"*"
"phen_index4"	0.155075427094097	0.102310857715856	1.51572795455182	0.132908572867493	""
"n_fl4"	1.31986459079369	0.144823015465219	9.11363837131722	1.29627502060547e-14	"*"
"n_shoots4"	0.200133236625211	0.103075508799025	1.94161774176083	0.0551462617028525	""
"h_shoot4"	0.0484101906784618	0.132769882666562	0.364617258870665	0.716207514145926	""
"(Intercept)5"	1.75	0.0949924419210545	18.4225183036601	4.04482857345597e-33	"*"
"phen_index5"	0.0752990062245912	0.0995660158013173	0.756272163936432	0.451357367000676	""
"n_fl5"	1.09725599765432	0.132252748788942	8.29665929594696	7.10995243798623e-13	"*"
"n_shoots5"	0.0894074982492384	0.105336493270651	0.848779900233772	0.398137487142965	""
"h_shoot5"	0.0590314985328105	0.13140366960062	0.449237823511527	0.654283311414875	""
"(Intercept)6"	1.79	0.0847024471027271	21.1328014859959	1.10964122581079e-37	"*"
"phen_index6"	0.294849999366856	0.0899929848908505	3.27636648261494	0.00146882137146785	"*"
"n_fl6"	1.06111178946722	0.10310555110952	10.2915097979554	3.9427559433488e-17	"*"
"n_shoots6"	-0.0706584538490524	0.0887543000160805	-0.796113020284656	0.427951248825714	""
"h_shoot6"	0.050215039489333	0.104121689922837	0.482272613194683	0.63072162326882	""
"(Intercept)7"	1.7	0.0705428939953972	24.098812845854	2.9583738234592e-42	"*"
"phen_index7"	0.161712672087319	0.0741452755218166	2.18102462967767	0.0316502598122435	"*"
"n_fl7"	0.975825229237495	0.0897468119548053	10.8730907313889	2.28360024492687e-18	"*"
"n_shoots7"	0.103210468854008	0.0722480787709113	1.42855658738379	0.156411365099441	""
"h_shoot7"	-0.0320652260866151	0.0881587222013785	-0.363721538673954	0.716874150184167	""
"(Intercept)8"	1.24	0.0679139358760429	18.2584028447896	7.86350749514713e-33	"*"
"phen_index8"	0.0935769572321819	0.0716350969078325	1.30630042076414	0.194604324636749	""
"n_fl8"	0.92542303648716	0.0741740790044152	12.4763670666147	9.95523823037662e-22	"*"
"n_shoots8"	0.125485624019871	0.0722922003783916	1.73581137886321	0.0858394692762545	""
"h_shoot8"	0.12656838666911	0.0735613924797857	1.72058171280391	0.0885823965465717	""
"(Intercept)9"	1.74	0.113861251381792	15.2817572166456	2.44721999605622e-27	"*"
"phen_index9"	-0.00406713201098749	0.116793518760159	-0.0348232680559915	0.972293731627093	""
"n_fl9"	0.884571489590004	0.140381800426633	6.30118353591216	9.18819643425443e-09	"*"
"n_shoots9"	-0.0447089650666011	0.11591168538151	-0.385715770756387	0.700569566368488	""
"h_shoot9"	-0.22265384638036	0.140779289432532	-1.58158097883471	0.117069031516372	""
