pop	pred	fitness_measure	intercept	phen_index	n_fl	n_shoots	h_shoot
Ale001	1	n_intact_fruits	1	-0,197374742	0,658826998	0,089266962	-0,062258389
Ale010	0	n_intact_fruits	1	0,175009046	0,091806229	-0,132341914	0,361191204
Bor012	0	n_intact_fruits	1	0,187053612	0,078392021	0,020993156	0,247595877
G?009a	1	n_intact_fruits	1	-0,373174715	0,796177338	-0,307611772	0,134324813
G?009b	1	n_intact_fruits	1	0,070910045	0,888639666	0,009961907	-0,066240314
G?016	1	n_intact_fruits	1,01	0,05839537	0,368585965	-0,185544101	0,211695422
Her003	1	n_intact_fruits	1	-0,065499697	0,597560298	-0,109953039	0,124718807
Her004	1	n_intact_fruits	1	-0,062110603	0,471549904	-0,077957535	-0,065170777
Her005	1	n_intact_fruits	1	-0,385649148	0,347797282	-0,001193769	-0,008746072
Ler010	1	n_intact_fruits	1	-0,175395939	0,357422393	-0,265526362	0,148192078
Mar001	0	n_intact_fruits	1	0,340026641	0,982215279	0,170130717	0,260234057
Par003	1	n_intact_fruits	1	-0,366540155	-0,205155685	-0,159801727	0,223102497
Sve001	0	n_intact_fruits	1	0,057792015	0,60390533	0,084756	-0,002336033
Sve005	0	n_intact_fruits	1	0,111686018	0,476423855	0,257159102	-0,260910124
Sve011	0	n_intact_fruits	1	0,094808464	0,593864676	-0,043700897	0,050610985
Sve013	0	n_intact_fruits	1	0,517098502	0,586499155	-0,255712554	0,102676697
Tra001	0	n_intact_fruits	1	0,17437741	1,011273289	-0,005777459	0,09961106
Tra002	0	n_intact_fruits	1	0,097247174	0,845083146	0,000998032	-0,155836695
V?004	1	n_intact_fruits	1	0,139840721	0,204888871	0,004569656	0,365997311
V?009	1	n_intact_fruits	0,797741873	0,075936557	0,631569153	0,007352552	0,022736263
Ale001	1	n_seeds	0,944889091	0,198609602	0,314593453	0,19350934	0,099915202
Ale010	0	n_seeds	0,945168947	0,359054377	0,485012981	-0,301403151	0,216976665
Bor012	0	n_seeds	0,916154525	0,208670452	0,296281271	-0,049263825	0,123364783
G?009a	1	n_seeds	0,746001692	-0,421838515	-0,141730239	0,020791756	0,733092838
G?009b	1	n_seeds	0,800456783	0,208896771	0,755581359	0,078730832	-0,131696153
G?016	1	n_seeds	0,84696507	0,24149501	0,191873845	0,182684324	0,252011121
Her003	1	n_seeds	0,901608687	-0,035657779	0,295792356	0,089060222	0,137331997
Her004	1	n_seeds	1,08388438	-0,3201055	0,1171284	0,091896004	0,181516239
Her005	1	n_seeds	0,989941056	-0,244280699	0,080036069	0,194860197	0,283808028
Ler010	1	n_seeds	0,837678797	0,081051319	0,729433357	-0,511764079	-0,420706099
Mar001	0	n_seeds	0,551505661	0,175488305	0,442937165	0,351486939	0,053936543
Par003	1	n_seeds	0,96358408	-0,002207522	-0,231085314	0,00447536	0,068662602
Sve001	0	n_seeds	0,794858477	-0,08936218	0,475708356	0,101119338	0,210969356
Sve005	0	n_seeds	1,070266412	0,196520747	0,774005714	0,017261955	-0,154569835
Sve011	0	n_seeds	0,930386508	0,116469883	0,561203726	0,000172635	0,081431963
Sve013	0	n_seeds	1,156000238	-0,081712382	-0,256035843	0,252100216	0,336054111
Tra001	0	n_seeds	0,618451709	0,133780729	0,677904815	0,242432675	0,049585151
Tra002	0	n_seeds	0,891261401	0,171309877	0,718397766	-0,015880776	-0,058715589
V?004	1	n_seeds	0,911924031	0,203648543	0,258419076	-0,100194864	0,296947921
V?009	1	n_seeds	0,801736141	0,086747769	0,750039835	-0,164591168	-0,025875935
