pop	pred	fitness_measure	intercept	phen_index	n_fl	n_shoots	h_shoot
Ale001	1	n_intact_fruits	1	-0,1570574	0,77004075	-0,0386449	-0,3607393
Ale010	0	n_intact_fruits	1	0,37822539	0,37708646	-0,0298102	0,14650413
Bor012	0	n_intact_fruits	1	0,25530507	0,3107508	-0,1536557	0,16532776
G?009a	1	n_intact_fruits	1	0,17877876	0,37520834	0,08545678	0,01479004
G?009b	1	n_intact_fruits	1	0,02344808	0,32098086	-0,0931818	0,26635424
G?016	1	n_intact_fruits	1	-0,1551456	0,4048644	0,3782232	-0,0706235
Her003	1	n_intact_fruits	1	-0,1444406	0,96361324	0,00192616	-0,1464954
Her004	1	n_intact_fruits	1	-0,0969046	0,39172415	-0,2200253	-0,0506843
Her005	1	n_intact_fruits	1	0,08863971	0,35447022	-0,0187342	-0,4969631
Ler010	1	n_intact_fruits	0,82213365	0,02294741	0,60003136	-1,8364193	-0,106538
Par003	1	n_intact_fruits	1	-0,4173718	-0,1767622	0,09311303	-0,4329683
Sve013	0	n_intact_fruits	1,00516884	0,3218314	0,17856796	0,06714522	-0,1997784
Tra001	0	n_intact_fruits	1,00908019	0,19701391	0,14688836	0,11665213	0,77212574
Tra002	0	n_intact_fruits	1	0,2106595	0,53430535	0,08314008	0,18660196
V?004	1	n_intact_fruits	1	0,17040347	0,12570017	-0,0737487	0,15667126
V?009	1	n_intact_fruits	1	0,23938215	1,22173667	0,01695174	-0,4250901
Ale001	1	n_seeds	0,81018352	1,03955662	0,41330838	0,50241188	-0,5945411
Ale010	0	n_seeds	0,14653335	0,58875314	1,08243846	0,04509468	-0,6599465
Bor012	0	n_seeds	1,20233381	-0,3416299	NA	0,091726	-0,0338422
G?009a	1	n_seeds	1,04130655	-0,2380162	-0,4697292	0,22008521	0,17719975
G?009b	1	n_seeds	0,77386924	0,27141389	1,00400124	0,1739601	-0,930977
G?016	1	n_seeds	0,86822561	1,0256281	2,43362985	-1,240841	-0,3973848
Her003	1	n_seeds	1,5589032	-0,1543446	3,16958391	1,16311937	-1,8463002
Her004	1	n_seeds	0,79237406	0,02241571	-0,6364053	-0,2574294	0,94277513
Her005	1	n_seeds	-0,0535344	1,52909111	0,89611843	-0,4199578	-1,6134724
Ler010	1	n_seeds	2,21230525	0,17132175	0,23125199	9,20927925	-0,3556495
Par003	1	n_seeds	1,18025984	-0,0080761	-0,0129573	-0,2541895	-0,2947318
Sve013	0	n_seeds	1,25855005	0,42633525	0,27828742	0,01656354	0,25447953
Tra001	0	n_seeds	0,29956853	0,3334168	0,3035339	-0,0793889	0,17768983
Tra002	0	n_seeds	1,12522292	0,87092475	-0,1439446	-0,2045646	0,24438863
V?004	1	n_seeds	1,0196449	-1,4056996	0,6955852	-0,3469397	-0,3483197
V?009	1	n_seeds	0,4812317	0,1147132	0,19774851	0,82282425	0,14772875
