pop	pred	most_adv	n_fl	h_shoot
Ale001	1	-0,1286875	0,76646516	-0,345749476
Ale010	0	0,36827531	0,24688979	0,156362696
Bor012	0	0,23424073	0,24708868	0,121208795
Göt009a	1	0,04669015	0,4111257	0,015372109
Göt009b	1	-0,0033272	0,26253022	0,304893367
Göt016	1	-0,0009876	0,47390171	-0,07784329
Her003	1	-0,270816	1,07587134	-0,157442637
Her004	1	-0,2865996	0,52517777	0,001043399
Her005	1	0,21509188	0,22184392	-0,466510232
Ler010	1	-0,1537689	0,66833772	-0,09460573
Par003	1	-0,4734463	0,00037714	-0,41814058
Sve013	0	0,44003975	-0,019384	-0,244124446
Tra001	0	0,31503539	0,05301829	0,722710329
Tra002	0	0,13268718	0,48198225	0,200144634
Vår004	1	0,07310501	0,13688866	0,113796999
Vår009	1	-0,0766717	1,38043828	-0,374095985
