pop	pred	intercept	phenology	n_fl	n_shoots	h_shoot	phen_measure	year
Ale001	1	1	-0,197374742	0,658826998	0,089266962	-0,062258389	phen_index	2010
Ale010	0	1	0,175009046	0,091806229	-0,132341914	0,361191204	phen_index	2010
Bor012	0	1	0,187053612	0,078392021	0,020993156	0,247595877	phen_index	2010
Göt009a	1	1	-0,373174715	0,796177338	-0,307611772	0,134324813	phen_index	2010
Göt009b	1	1	0,070910045	0,888639666	0,009961907	-0,066240314	phen_index	2010
Göt016	1	1,01	0,05839537	0,368585965	-0,185544101	0,211695422	phen_index	2010
Her003	1	1	-0,065499697	0,597560298	-0,109953039	0,124718807	phen_index	2010
Her004	1	1	-0,062110603	0,471549904	-0,077957535	-0,065170777	phen_index	2010
Her005	1	1	-0,385649148	0,347797282	-0,001193769	-0,008746072	phen_index	2010
Ler010	1	1	-0,175395939	0,357422393	-0,265526362	0,148192078	phen_index	2010
Mar001	0	1	0,340026641	0,982215279	0,170130717	0,260234057	phen_index	2010
Par003	1	1	-0,366540155	-0,205155685	-0,159801727	0,223102497	phen_index	2010
Sve001	0	1	0,057792015	0,60390533	0,084756	-0,002336033	phen_index	2010
Sve005	0	1	0,111686018	0,476423855	0,257159102	-0,260910124	phen_index	2010
Sve011	0	1	0,094808464	0,593864676	-0,043700897	0,050610985	phen_index	2010
Sve013	0	1	0,517098502	0,586499155	-0,255712554	0,102676697	phen_index	2010
Tra001	0	1	0,17437741	1,011273289	-0,005777459	0,09961106	phen_index	2010
Tra002	0	1	0,097247174	0,845083146	0,000998032	-0,155836695	phen_index	2010
Vår004	1	1	0,139840721	0,204888871	0,004569656	0,365997311	phen_index	2010
Vår009	1	0,797741873	0,075936557	0,631569153	0,007352552	0,022736263	phen_index	2010
Ale001	1	1	-0,1570574	0,77004075	-0,0386449	-0,3607393	phen_index	2011
Ale010	0	1	0,37822539	0,37708646	-0,0298102	0,14650413	phen_index	2011
Bor012	0	1	0,25530507	0,3107508	-0,1536557	0,16532776	phen_index	2011
Göt009a	1	1	0,17877876	0,37520834	0,08545678	0,01479004	phen_index	2011
Göt009b	1	1	0,02344808	0,32098086	-0,0931818	0,26635424	phen_index	2011
Göt016	1	1	-0,1551456	0,4048644	0,3782232	-0,0706235	phen_index	2011
Her003	1	1	-0,1444406	0,96361324	0,00192616	-0,1464954	phen_index	2011
Her004	1	1	-0,0969046	0,39172415	-0,2200253	-0,0506843	phen_index	2011
Her005	1	1	0,08863971	0,35447022	-0,0187342	-0,4969631	phen_index	2011
Ler010	1	0,82213365	0,02294741	0,60003136	-1,8364193	-0,106538	phen_index	2011
Par003	1	1	-0,4173718	-0,1767622	0,09311303	-0,4329683	phen_index	2011
