pop	pred	most_adv	n_fl	h_shoot
Ale001	1	-0,172726893	0,746902284	-0,101213668
Ale010	0	0,115448181	0,09593027	0,356646068
Bor012	0	0,196631935	-0,005217908	0,257672857
Göt009a	1	-0,579797521	0,950414092	0,186166735
Göt009b	1	0,056802669	0,871858156	-0,067671784
Göt016	1	0,003712252	0,354438593	0,221575154
Her003	1	-0,205434651	0,655572802	0,125207052
Her004	1	-0,234622938	0,54084126	-0,040108764
Her005	1	-0,354696276	0,436392677	-0,011261574
Ler010	1	-0,191812705	0,478555295	0,119117289
Mar001	0	0,519830656	0,829674668	0,203352102
Par003	1	-0,469220807	-0,094922995	0,250212198
Sve001	0	0,05880431	0,573418234	0,041359983
Sve005	0	0,196896289	0,481756002	-0,278479232
Sve011	0	0,079239424	0,558394628	0,057773978
Sve013	0	0,580613004	0,343617576	0,119674159
Tra001	0	0,154651219	0,952405305	0,104124356
Tra002	0	0,03833769	0,826791663	-0,14978812
Vår004	1	0,131141517	0,163083963	0,359968496
Vår009	1	-0,033567623	0,650975742	0,004593416
