"Estimate"	"Std..Error"	"t.value"	"Pr...t.."	"sig"
"Ale001.(Intercept)"	1	0.0986550459654048	10.1363289653797	8.4508879123982e-17	"*"
"Ale001.phen_index"	-0.197374741522689	0.100155971640394	-1.97067372309417	0.05167184368883	""
"Ale001.n_fl"	0.658826998029786	0.128517900531888	5.12634423145061	1.55268817735943e-06	"*"
"Ale001.n_shoots"	0.0892669619870399	0.10018417470003	0.891028570673183	0.375164972825232	""
"Ale001.h_shoot"	-0.0622583886350539	0.129598186173978	-0.480395524606151	0.63205056222046	""
"Ale010.(Intercept)"	0.999999999999999	0.134665149800901	7.42582621768496	4.78555851028903e-11	"*"
"Ale010.phen_index"	0.175009046189409	0.147364313685815	1.18759448479863	0.237954068655178	""
"Ale010.n_fl"	0.0918062285990581	0.163268969488283	0.562300533204792	0.575235695869887	""
"Ale010.n_shoots"	-0.132341913576316	0.138726770584764	-0.953975307134056	0.342517250304942	""
"Ale010.h_shoot"	0.361191204240218	0.163705172777256	2.20635180985801	0.0297695130374833	"*"
"Bor012.(Intercept)"	1	0.0677556025208485	14.7589271262446	2.53274343885359e-26	"*"
"Bor012.phen_index"	0.187053612321326	0.0731522723232398	2.55704445508934	0.0121401951527833	"*"
"Bor012.n_fl"	0.0783920207714433	0.07416779604178	1.05695497176812	0.293212498307484	""
"Bor012.n_shoots"	0.0209931557413414	0.0726866303208189	0.288817292102871	0.773350479794939	""
"Bor012.h_shoot"	0.247595877419854	0.0821478578354084	3.01402719369673	0.00330550912792012	"*"
"Göt009a.(Intercept)"	1	0.22599996646557	4.42477941762148	2.57328276666375e-05	"*"
"Göt009a.phen_index"	-0.373174715283972	0.236815780231666	-1.57580172621483	0.118395921267444	""
"Göt009a.n_fl"	0.796177338125582	0.262741924079905	3.03026378798783	0.00314784111208943	"*"
"Göt009a.n_shoots"	-0.307611772098587	0.229105943063891	-1.34266168736095	0.182580981392239	""
"Göt009a.h_shoot"	0.134324812648186	0.26545167306473	0.506023605341645	0.6140123203761	""
"Göt009b.(Intercept)"	1	0.0686234237593627	14.5722837074792	5.88085418742545e-26	"*"
"Göt009b.phen_index"	0.0709100450207933	0.0722212951924287	0.981843995345949	0.328670605567317	""
"Göt009b.n_fl"	0.888639666178502	0.0783891140743694	11.3362636722164	2.39358858482701e-19	"*"
"Göt009b.n_shoots"	0.00996190721807474	0.0733145597021562	0.135878974906832	0.892204470397213	""
