"Estimate"	"Std..Error"	"t.value"	"Pr...t.."	"sig"
"Ale001.(Intercept)"	1	0.0991221019407244	10.088567336859	9.59840120486008e-17	"*"
"Ale001.most_adv"	-0.172726893312325	0.105773458630113	-1.63298898938671	0.105747081236477	""
"Ale001.n_fl"	0.746902283637208	0.131278364019985	5.68945453588609	1.37826482294503e-07	"*"
"Ale001.h_shoot"	-0.101213668167849	0.127883817092154	-0.791450165230162	0.430632493215464	""
"Ale010.(Intercept)"	0.999999999999999	0.13509807456782	7.40202999338818	5.11903316324123e-11	"*"
"Ale010.most_adv"	0.11544818062524	0.170880501566218	0.675607688221247	0.50091396353764	""
"Ale010.n_fl"	0.0959302699429836	0.177431455355071	0.540661010478726	0.58999351396928	""
"Ale010.h_shoot"	0.356646068328562	0.163037458340025	2.18750998672191	0.03113325157671	"*"
"Bor012.(Intercept)"	1	0.0676062679832915	14.7915279134642	1.70140579918286e-26	"*"
"Bor012.most_adv"	0.196631935021797	0.0802038733823038	2.45165135709246	0.0160279680345516	"*"
"Bor012.n_fl"	-0.00521790767702655	0.0759120757783974	-0.0687362007101304	0.94534257087836	""
"Bor012.h_shoot"	0.257672856947791	0.0773525859326715	3.3311472892719	0.00122870742795214	"*"
"Göt009a.(Intercept)"	1	0.223753015876018	4.4692135034913	2.14858900854899e-05	"*"
"Göt009a.most_adv"	-0.579797521061083	0.262351812654062	-2.21000005753955	0.0294815216194177	"*"
"Göt009a.n_fl"	0.950414092131929	0.275965835709159	3.44395562475919	0.000851325656348335	"*"
"Göt009a.h_shoot"	0.186166735223173	0.264766171192006	0.703136410459955	0.483672478582509	""
"Göt009b.(Intercept)"	1	0.0684681449481465	14.6053321695416	3.96381695672046e-26	"*"
"Göt009b.most_adv"	0.0568026691045534	0.0846235433471935	0.671239549394705	0.503679871388871	""
"Göt009b.n_fl"	0.87185815627421	0.0802316881787645	10.8667557179106	2.07052725934297e-18	"*"
"Göt009b.h_shoot"	-0.0676717838433117	0.079499240172429	-0.851225542489912	0.396762394754097	""
"Göt016.(Intercept)"	1.01	0.156166024667792	6.46747589399516	4.16626329005272e-09	"*"
"Göt016.most_adv"	0.00371225209672712	0.167414724886803	0.0221739879764886	0.982355191246231	""
"Göt016.n_fl"	0.354438592853107	0.168577635874763	2.10252440078362	0.0381239630578433	"*"
"Göt016.h_shoot"	0.221575153836952	0.158875672157483	1.39464494990346	0.166341792489727	""
"Her003.(Intercept)"	1	0.12567510529606	7.95702536030699	3.50238975982039e-12	"*"
"Her003.most_adv"	-0.205434651076697	0.169519964646258	-1.21186110146603	0.228539888001154	""
"Her003.n_fl"	0.655572802184484	0.210263185289207	3.11786773934189	0.00240422051185568	"*"
"Her003.h_shoot"	0.125207052458562	0.184077027756923	0.680188364535635	0.498022281656962	""
"Her004.(Intercept)"	1	0.146169472161538	6.84137381911635	7.32248966623285e-10	"*"
"Her004.most_adv"	-0.23462293823865	0.179193991832153	-1.30932368791927	0.193549873945557	""
"Her004.n_fl"	0.540841260238324	0.209659175956775	2.57962122463854	0.0114074754889	"*"
"Her004.h_shoot"	-0.040108763504452	0.201109299994619	-0.199437636675803	0.842342243728792	""
"Her005.(Intercept)"	1	0.102278300020876	9.77724502456425	4.47646874733447e-16	"*"
"Her005.most_adv"	-0.354696275557659	0.120348130554885	-2.94725205885853	0.00402469957258817	"*"
"Her005.n_fl"	0.436392677424511	0.132684506432307	3.28894977385434	0.00140652922874034	"*"
"Her005.h_shoot"	-0.0112615739317867	0.123834844290712	-0.0909402680343288	0.92772953627233	""
"Ler010.(Intercept)"	1	0.152456444206763	6.5592504482381	2.72720761753329e-09	"*"
"Ler010.most_adv"	-0.191812704936295	0.161762611589054	-1.18576661845434	0.238641146231182	""
"Ler010.n_fl"	0.478555295480416	0.18921449326708	2.52916828524824	0.0130626773035456	"*"
"Ler010.h_shoot"	0.119117288968351	0.18997711845505	0.627008609968651	0.532141952542686	""
"Mar001.(Intercept)"	0.999999999999999	0.0932551917005709	10.7232635713286	4.19236613217291e-18	"*"
"Mar001.most_adv"	0.519830655629682	0.11842055013939	4.38969971865357	2.91737781906199e-05	"*"
"Mar001.n_fl"	0.829674667900341	0.127228864576213	6.52111979984972	3.25302423453648e-09	"*"
"Mar001.h_shoot"	0.203352101933669	0.121792236888056	1.66966390575926	0.0982436965537016	""
"Par003.(Intercept)"	1	0.144049355648976	6.94206506856462	4.56071897710529e-10	"*"
"Par003.most_adv"	-0.469220807441385	0.161238343909829	-2.91010683974645	0.00449065472220259	"*"
"Par003.n_fl"	-0.094922995016117	0.161825683427213	-0.586575585567121	0.558865592914789	""
"Par003.h_shoot"	0.250212198171771	0.15711443801562	1.59254745351217	0.114549254423941	""
"Sve001.(Intercept)"	1	0.0441503211483578	22.6498918691829	2.70946457427653e-40	"*"
"Sve001.most_adv"	0.0588043102922469	0.0649813544811207	0.904941282954199	0.36776198179415	""
"Sve001.n_fl"	0.573418233936528	0.0621076087363087	9.2326567646663	6.62549618365889e-15	"*"
"Sve001.h_shoot"	0.0413599828103284	0.0651324985228378	0.635012992720156	0.526930560238344	""
"Sve005.(Intercept)"	0.999999999999999	0.129828348759156	7.70247799927804	1.2044107123687e-11	"*"
"Sve005.most_adv"	0.196896289219711	0.137906358839293	1.42775351968476	0.156607819925933	""
"Sve005.n_fl"	0.481756001773666	0.14448726453088	3.33424543220351	0.00121651957001781	"*"
"Sve005.h_shoot"	-0.278479231503005	0.151327444847567	-1.84024273841086	0.0688221087593647	""
"Sve011.(Intercept)"	0.999999999999998	0.0462863361555814	21.6046480032188	1.21019614351983e-38	"*"
"Sve011.most_adv"	0.0792394240674493	0.0577059973021842	1.37315751866314	0.172902177126464	""
"Sve011.n_fl"	0.558394628362225	0.0569596754429579	9.80333234028744	3.93437461374669e-16	"*"
"Sve011.h_shoot"	0.0577739776525472	0.0542790713315252	1.06438773242224	0.289822991716029	""
"Sve013.(Intercept)"	1	0.234480568099192	4.2647457233086	4.68723203483547e-05	"*"
"Sve013.most_adv"	0.580613003897581	0.301579917054858	1.92523762711947	0.0571594897861266	""
"Sve013.n_fl"	0.343617576203581	0.269066566055648	1.27707273795033	0.204656765026531	""
"Sve013.h_shoot"	0.119674159166749	0.298756358068221	0.400574434434034	0.689623547055132	""
"Tra001.(Intercept)"	0.999999999999999	0.162727335452643	6.14524902788088	1.81300295208354e-08	"*"
"Tra001.most_adv"	0.154651218622726	0.180599139913551	0.85632311813198	0.393951512028856	""
"Tra001.n_fl"	0.952405305015733	0.212429696730352	4.48339059780644	2.03387423043022e-05	"*"
"Tra001.h_shoot"	0.104124356091289	0.200712137634357	0.518774585924523	0.605111748855342	""
"Tra002.(Intercept)"	0.999999999999999	0.0602416539949523	16.5998098273296	5.76811666605973e-30	"*"
"Tra002.most_adv"	0.0383376899240236	0.0719917584275179	0.532528872212816	0.595590215794727	""
"Tra002.n_fl"	0.826791662592084	0.0756536957701471	10.9286354642087	1.52793181515638e-18	"*"
