"Estimate"	"Std..Error"	"t.value"	"Pr...t.."	"sig"
"Ale001.(Intercept)"	0.944889091073116	0.1093923176933	8.63761835380685	1.26853681782362e-11	"*"
"Ale001.phen_index"	0.19860960200543	0.120720873224682	1.6451968636425	0.10596155655101	""
"Ale001.n_fl"	0.314593452767422	0.129493765250394	2.42941003498595	0.0186137453440935	"*"
"Ale001.n_shoots"	0.193509339527195	0.186528530995871	1.03742488344305	0.304338098101628	""
"Ale001.h_shoot"	0.0999152015582189	0.124762966429317	0.800840220602039	0.426868175862102	""
"Ale010.(Intercept)"	0.945168947421637	0.114366341803324	8.26439783347309	1.42565278953198e-10	"*"
"Ale010.phen_index"	0.359054376989376	0.118189797454838	3.03794730781712	0.00395644406524848	"*"
"Ale010.n_fl"	0.485012980508487	0.158896230673585	3.05238820614211	0.00380241739359996	"*"
"Ale010.n_shoots"	-0.301403150911111	0.1321929877744	-2.28002374396352	0.0273961544443687	"*"
"Ale010.h_shoot"	0.216976665016817	0.143663461036576	1.51031211033943	0.137954403003484	""
"Bor012.(Intercept)"	0.916154524899896	0.0608588918881526	15.0537496900801	2.23310505936595e-22	"*"
"Bor012.phen_index"	0.208670451993502	0.0817662692498116	2.55203586892259	0.0131881205467235	"*"
"Bor012.n_fl"	0.296281271316084	0.0631560183101856	4.69125950690752	1.54051553777685e-05	"*"
"Bor012.n_shoots"	-0.0492638253111953	0.0648316133851052	-0.759873505207468	0.450210016521967	""
"Bor012.h_shoot"	0.123364782745121	0.0706765998447214	1.74548270596147	0.0858549966893939	""
"Göt009a.(Intercept)"	0.746001692317761	0.366803841574336	2.03378920219563	0.0548005343465609	""
"Göt009a.phen_index"	-0.421838515209574	0.370406245855833	-1.13885367735878	0.267589536590946	""
"Göt009a.n_fl"	-0.141730238989404	0.288914580846964	-0.490561046015458	0.628823672445159	""
"Göt009a.n_shoots"	0.0207917564289798	0.362746636460984	0.0573175719334783	0.95483411032897	""
"Göt009a.h_shoot"	0.733092838290661	0.356457915834585	2.05660417604768	0.0523611577513538	""
"Göt009b.(Intercept)"	0.800456783114043	0.11443645576358	6.99477083393555	2.36566735474544e-09	"*"
"Göt009b.phen_index"	0.208896771276738	0.108774835516157	1.9204512724426	0.0594790594080897	""
"Göt009b.n_fl"	0.755581359358472	0.110990338708379	6.8076318006716	4.95550689427175e-09	"*"
"Göt009b.n_shoots"	0.0787308318712956	0.137939827082584	0.570762147064023	0.570257600294666	""
"Göt009b.h_shoot"	-0.131696153135353	0.126021243182421	-1.0450313757397	0.300132085182309	""
"Göt016.(Intercept)"	0.846965070099446	0.23247505055336	3.64325147186081	0.00076542054145194	"*"
"Göt016.phen_index"	0.241495010000917	0.243075544741677	0.993497763247061	0.32643969129428	""
"Göt016.n_fl"	0.191873845165881	0.232671854107383	0.824654300804802	0.414458637490796	""
"Göt016.n_shoots"	0.18268432370997	0.208855525598498	0.874692317507368	0.38696320142729	""
"Göt016.h_shoot"	0.252011120544127	0.250210363414703	1.00719697259877	0.319894361275959	""
"Her003.(Intercept)"	0.901608687347394	0.144875750752744	6.22332365950011	8.53252739174192e-08	"*"
"Her003.phen_index"	-0.0356577785530997	0.164407068796452	-0.216887137603838	0.829145000300371	""
"Her003.n_fl"	0.295792355600767	0.198404649783766	1.49085394885221	0.142041443831362	""
"Her003.n_shoots"	0.0890602220014748	0.145906944666377	0.610390562321179	0.544261742368275	""
"Her003.h_shoot"	0.137331996872292	0.208394107844878	0.659001342660408	0.512802674145696	""
"Her004.(Intercept)"	1.08388437955884	0.150463828392634	7.20362090435746	5.75621927683076e-09	"*"
"Her004.phen_index"	-0.32010549951855	0.146077791299532	-2.19133584010847	0.0337661776361423	"*"
"Her004.n_fl"	0.117128399842456	0.19524596894845	0.599901757118381	0.55164886638876	""
"Her004.n_shoots"	0.0918960040332515	0.151134866910264	0.608039732405459	0.546287062660349	""
"Her004.h_shoot"	0.181516239274701	0.224720315514695	0.807742899697163	0.423584062240265	""
"Her005.(Intercept)"	0.989941056337426	0.127840118523838	7.74358681584633	1.00240638331521e-10	"*"
"Her005.phen_index"	-0.244280699072173	0.150432172500299	-1.62385941126847	0.109399301223936	""
"Her005.n_fl"	0.0800360686484205	0.148033887390111	0.540660453221111	0.590648130562773	""
"Her005.n_shoots"	0.194860197061743	0.161486081586185	1.2066686809646	0.232071315831716	""
"Her005.h_shoot"	0.283808027566391	0.156956230492916	1.8081985447478	0.0753488770503256	""
"Ler010.(Intercept)"	0.837678797049674	0.209643832467872	3.99572354306225	0.000327815379211079	"*"
"Ler010.phen_index"	0.081051319450432	0.202376738669597	0.400497211207447	0.691295880076243	""
"Ler010.n_fl"	0.729433356978559	0.247974106225532	2.94157066671768	0.00584152556532147	"*"
"Ler010.n_shoots"	-0.511764078846915	0.293543381580293	-1.74340186480046	0.0903011648012939	""
"Ler010.h_shoot"	-0.420706098624214	0.246784426493146	-1.70475140835476	0.0973637931852205	""
"Mar001.(Intercept)"	0.551505661375841	0.170948978154425	3.2261419011095	0.00302730031451275	"*"
"Mar001.phen_index"	0.17548830485422	0.131460290117074	1.33491493665453	0.191946871896179	""
"Mar001.n_fl"	0.442937164946366	0.135563753923974	3.26737163972879	0.0027206421601644	"*"
"Mar001.n_shoots"	0.351486938818326	0.122075182240065	2.87926614049296	0.00728471505374321	"*"
"Mar001.h_shoot"	0.0539365434106388	0.207021485401494	0.260535969520435	0.796230413193969	""
"Par003.(Intercept)"	0.963584080010834	0.189106518338784	5.09545672182794	2.61266534518555e-05	"*"
"Par003.phen_index"	-0.0022075216154044	0.255163121136449	-0.00865141328250144	0.993163298572572	""
"Par003.n_fl"	-0.23108531442365	0.212468613369602	-1.08762094673091	0.286742491505799	""
"Par003.n_shoots"	0.00447536023873977	0.311620636376393	0.0143615656869854	0.988651160174337	""
"Par003.h_shoot"	0.0686626018542793	0.195403764302555	0.351388327135628	0.728128724628553	""
"Sve001.(Intercept)"	0.794858477157761	0.0607574869063888	13.082477857954	1.59177227937763e-18	"*"
"Sve001.phen_index"	-0.0893621800660783	0.0677906467969102	-1.31820810522421	0.192897694649222	""
"Sve001.n_fl"	0.475708355948134	0.0655609085497724	7.25597564876616	1.43594281027351e-09	"*"
"Sve001.n_shoots"	0.101119337598101	0.0521957522339387	1.93730970951218	0.0578497632024824	""
"Sve001.h_shoot"	0.21096935591425	0.0805535104862551	2.6189964241254	0.011373209363512	"*"
"Sve005.(Intercept)"	1.07026641177796	0.067164095440565	15.9350975362285	6.86051057683319e-20	"*"
"Sve005.phen_index"	0.196520747091871	0.070315474509982	2.79484350296139	0.00766479946373526	"*"
"Sve005.n_fl"	0.774005714117293	0.0895207793134004	8.64610116281049	4.85810323006625e-11	"*"
