"Estimate"	"Std..Error"	"t.value"	"Pr...t.."	"sig"
"Ale001.(Intercept)"	0.940357174965275	0.335659473562721	2.80152133048484	0.0172278241576528	"*"
"Ale001.most_adv"	0.417139292917372	0.569140033474385	0.732929100718666	0.478929722348921	""
"Ale001.n_fl"	0.579754059421284	0.512068121789296	1.13218151013868	0.281634988699821	""
"Ale001.n_shoots"	0.125036614658885	0.428431417654099	0.291847445137265	0.775833718967312	""
"Ale001.h_shoot"	-0.669909945849595	0.481027313871436	-1.39266508684919	0.191229691796141	""
"Ale010.(Intercept)"	0.262930861686817	0.516378972558249	0.509181968398525	0.637428005703058	""
"Ale010.most_adv"	0.47823574281954	0.481759817632954	0.992684996372822	0.37705297816378	""
"Ale010.n_fl"	0.938862389848053	0.415948103036087	2.25716233105792	0.0869530004624467	""
"Ale010.n_shoots"	-0.155393291947591	0.430055482280737	-0.361333126422398	0.73612734792208	""
"Ale010.h_shoot"	-0.571551920419791	0.75763163422666	-0.75439289306233	0.492592588793147	""
"Bor012.(Intercept)"	1.29049238257864	0.70759938158639	1.82376132054474	0.118003780177003	""
"Bor012.most_adv"	-0.506353230367747	1.04472569493925	-0.484675769745655	0.645091765733982	""
"Bor012.n_shoots"	0.0917259957928521	0.224078038791457	0.40934844078236	0.696495959743986	""
"Bor012.h_shoot"	-0.0338421662893538	0.291523538982492	-0.116087251161514	0.911371354311902	""
"Göt009a.(Intercept)"	1.03841768083158	0.474705414699113	2.18749912825362	0.0601550795298313	""
"Göt009a.most_adv"	-0.589521368293826	0.668751607103554	-0.881525161258477	0.403740400381877	""
"Göt009a.n_fl"	-0.294662064267612	0.484931295387467	-0.607636725182219	0.560277110428469	""
"Göt009a.n_shoots"	0.271371229853784	0.384591917484223	0.70560824998335	0.500458632996755	""
"Göt009a.h_shoot"	0.244212262494335	0.611454134983622	0.399395880282789	0.70005195262698	""
"Göt009b.(Intercept)"	0.749275003136661	0.333735078466395	2.24511911238036	0.0462842172711924	"*"
"Göt009b.most_adv"	0.0336108007566586	0.413797696851853	0.081225200169956	0.936721908602364	""
"Göt009b.n_fl"	0.898257609527816	0.593268008654534	1.51408401670767	0.158195852381558	""
"Göt009b.n_shoots"	0.202675899231414	0.321703673352184	0.630008035405724	0.541554883414848	""
"Göt009b.h_shoot"	-0.681191806098105	0.807055431652751	-0.844045872664666	0.416622243984742	""
"Göt016.(Intercept)"	1.35569385305719	0.666863784645171	2.03293968614375	0.11183798294936	""
"Göt016.most_adv"	0.254117626904835	0.845222774727239	0.300651655993109	0.7786591862454	""
"Göt016.n_fl"	2.22503195508178	0.748611891497479	2.97221027391237	0.0410542807631657	"*"
"Göt016.n_shoots"	-0.807216436836209	0.443853217866562	-1.81865626820551	0.14310031861714	""
"Göt016.h_shoot"	-0.772140034008456	0.470255426427079	-1.64195879646737	0.175942986576381	""
"Her003.(Intercept)"	1.58131234349545	0.435756106584047	3.62889313449116	0.00396431391429724	"*"
"Her003.most_adv"	-0.23868950207234	0.416046257379657	-0.573709047584406	0.577706194141522	""
"Her003.n_fl"	3.24610482299718	0.609750150264311	5.32366383442477	0.000243419875949305	"*"
"Her003.n_shoots"	1.25184435703462	1.26342625991654	0.990832941146339	0.343062258930073	""
"Her003.h_shoot"	-1.85471563560005	0.485564929967074	-3.81970673978826	0.00284458474103888	"*"
"Her004.(Intercept)"	0.736634891247569	1.14271084031554	0.644638053003996	0.537203976905823	""
"Her004.most_adv"	0.130871822308629	0.973160586249821	0.134481219397672	0.896343864122975	""
"Her004.n_fl"	-0.675618477032473	0.782327845061204	-0.863600191783558	0.412948988557133	""
"Her004.n_shoots"	-0.210871205110909	1.46146756177527	-0.144287297663152	0.888842224369426	""
"Her004.h_shoot"	0.913998203709614	1.14199483416142	0.800352310158016	0.44662064482573	""
"Her005.(Intercept)"	-0.240591094895606	0.641658819307616	-0.37495174640507	0.715526010393178	""
"Her005.most_adv"	1.87172524086478	0.857937542830028	2.18165676103954	0.054093773926032	""
"Her005.n_fl"	0.21929108058349	0.605510253173555	0.362159153266452	0.724769363297129	""
"Her005.n_shoots"	-0.680129662891039	0.560910539795299	-1.21254569960345	0.253171376778632	""
"Her005.h_shoot"	-2.1313614081911	0.918583622276643	-2.32026933259346	0.0427531435694447	"*"
"Ler010.(Intercept)"	2.16391388035323	1.03833845763088	2.08401592414338	0.0668286873937053	""
"Ler010.most_adv"	0.294899441990374	0.439338636295651	0.671234937306817	0.518925410845566	""
"Ler010.n_fl"	0.120278896007418	0.374430274294281	0.321231759996216	0.755369153320971	""
"Ler010.n_shoots"	8.90821855014373	6.32131036414692	1.40923606609623	0.19236797345382	""
"Ler010.h_shoot"	-0.298601882744003	0.457402140096928	-0.652821350334578	0.530191787944388	""
"Par003.(Intercept)"	1.16454919918149	0.523090851966945	2.22628477405504	0.0530173801757265	""
"Par003.most_adv"	0.0233745843955061	0.619726113822854	0.0377176043967507	0.970736214944988	""
"Par003.n_fl"	-0.0199964177122978	0.40039804750398	-0.0499413467097364	0.961259920667859	""
"Par003.n_shoots"	-0.26258022298316	0.375581034492609	-0.69913067718633	0.502136768287888	""
"Par003.h_shoot"	-0.289584570976323	0.503797691869533	-0.574803290387673	0.579507165857857	""
"Sve013.(Intercept)"	0.998190146900241	0.216205996532828	4.6168476494993	0.0191227060924659	"*"
"Sve013.most_adv"	0.398974053422564	0.153549653070713	2.59833900919872	0.0804912862445288	""
