pop	pred	most_adv2	n_fl2	h_shoot2
Ale001	1	0,009770559	0,074555516	-0,156092716
Ale010	0	-0,019120562	0,237977047	-0,181305232
Bor012	0	0,012109746	-0,069509941	-0,148005904
Göt009a	1	-0,18497211	-0,042301907	-0,129752372
Göt009b	1	-0,17857344	-0,151445281	0,087903611
Göt016	1	0,008213808	0,03925396	-0,121772262
Her003	1	0,226261825	0,199517006	0,227913697
Her004	1	0,113852569	0,09005444	0,339382875
Her005	1	0,092273803	-0,184579261	-0,005777507
Ler010	1	-0,031109633	0,281151906	0,151041568
Par003	1	0,116590335	0,057938178	0,058867896
Sve013	0	0,181899563	-0,226820205	-0,056717357
Tra001	0	-0,154408407	-0,110072293	0,395769032
Tra002	0	0,076520751	-0,131159707	0,049729987
Vår004	1	-0,123455925	-0,123993843	0,189264638
Vår009	1	-0,399171171	0,525221435	-0,252619751
