pop	pred	most_adv2	n_fl2	h_shoot2
Ale001	1	-0,102742416	0,059240302	0,114569434
Ale010	0	-0,170215083	-0,121427213	0,193651924
Bor012	0	-0,185492166	-0,075550477	-0,027864005
Göt009a	1	-0,380324669	0,415469469	-0,023173271
Göt009b	1	-0,008771288	-0,01218578	-0,03445646
Göt016	1	-0,290236579	-0,031146823	-0,093096782
Her003	1	-0,080633489	0,111312654	0,262012808
Her004	1	-0,12380741	0,090065278	-0,173850481
Her005	1	-0,078301259	-0,137102676	-0,114399732
Ler010	1	-0,043976896	0,192853347	-0,083109722
Mar001	0	0,227824359	0,180551399	-0,063932104
Par003	1	-0,098518669	-0,00911935	0,001722082
Sve001	0	-0,077641558	0,059662827	0,059499323
Sve005	0	-0,109222008	-0,059224523	0,136301662
Sve011	0	0,007992287	0,008954787	-0,006175314
Sve013	0	0,408491071	-0,000156097	0,130295988
Tra001	0	0,084506211	0,288972327	-0,160233317
Tra002	0	-0,061025311	0,181948625	-0,035868921
Vår004	1	-0,044939684	-0,136397915	0,127814372
Vår009	1	0,054800247	0,032105151	-0,055496856
