"Estimate"	"Std..Error"	"t.value"	"Pr...t.."	"sig"
"Ale001.(Intercept)"	1.07104897483428	0.130013640853291	8.23797386031877	1.07640459630291e-12	"*"
"Ale001.most_adv"	-0.164390643630806	0.116363899160264	-1.41272890318325	0.161073361064212	""
"Ale001.n_fl"	0.747145430404681	0.143858558020403	5.19361128518134	1.21064426032897e-06	"*"
"Ale001.h_shoot"	-0.258167530338594	0.115497707474574	-2.23526107992601	0.0277937084276571	"*"
"Ale001.I(most_adv^2)"	0.00977055898594154	0.0859578721248942	0.113666831721302	0.909746927595382	""
"Ale001.I(n_fl^2)"	0.074555516011523	0.0678278035115213	1.09918812274172	0.274523388239449	""
"Ale001.I(h_shoot^2)"	-0.156092716244216	0.0532143665058296	-2.93328148944733	0.00422314498777859	"*"
"Ale010.(Intercept)"	0.962824259651137	0.166418458906941	5.78556168573544	9.65796788427141e-08	"*"
"Ale010.most_adv"	0.319689684575806	0.11331046833182	2.82136054401983	0.00584650247891514	"*"
"Ale010.n_fl"	-0.166101336196042	0.201152026232963	-0.825750251223781	0.411059069092876	""
"Ale010.h_shoot"	0.260617317180074	0.120984178477826	2.15414379350304	0.0338136963881415	"*"
"Ale010.I(most_adv^2)"	-0.0191205622114767	0.113860291414533	-0.167930030513132	0.867002974593732	""
"Ale010.I(n_fl^2)"	0.237977047019837	0.0907451569065298	2.62247656109032	0.0102001249973423	"*"
"Ale010.I(h_shoot^2)"	-0.181305231930722	0.0856057555232943	-2.11790937212612	0.0368500491500422	"*"
"Bor012.(Intercept)"	1.20335203728607	0.120515832186503	9.98501205570935	2.20224619314224e-16	"*"
"Bor012.most_adv"	0.257055456850351	0.12481502733895	2.05949125142029	0.0422422922355537	"*"
"Bor012.n_fl"	0.477131025738705	0.190188285907128	2.50872982772291	0.0138478737958269	"*"
"Bor012.h_shoot"	0.157646087580854	0.0790598470871013	1.994009517969	0.0490797585530815	"*"
"Bor012.I(most_adv^2)"	0.0121097459448769	0.0650208685369712	0.186243989312312	0.852659077323932	""
"Bor012.I(n_fl^2)"	-0.0695099405554714	0.0556908460509874	-1.24813942477785	0.215113279278346	""
"Bor012.I(h_shoot^2)"	-0.148005903658167	0.0728929150503652	-2.03045664391256	0.0451658815244338	"*"
"Göt009a.(Intercept)"	1.35345612500201	0.220395238319507	6.1410406836463	2.00235998384187e-08	"*"
"Göt009a.most_adv"	-0.0893327891671269	0.168326403196376	-0.530711685575008	0.596883661583162	""
