predator	LokalID	Individ	n_shoots	h_shoot	n_fl	phen_index	most_adv	n_eggs	n_pred_all	n_aborted_all	n_intact_fruits	attack	year	prop_pred	prop_pred_c	prop_int_fr	prop_int_fr_c
1	Ale001	1	6	17,2	5	4	5	0	2	0	1	0	2010	0,4	0,4	0,2	0,2
1	Ale001	2	4	28,6	7	2,14285714	3	0	2	0	5	0	2010	0,28571429	0,28571429	0,71428571	0,71428571
1	Ale001	3	5	12,4	3	2	4	0	0	0	2	0	2010	0	0	0,66666667	0,66666667
1	Ale001	4	3	27	3	2,33333333	3	0	1	0	2	0	2010	0,33333333	0,33333333	0,66666667	0,66666667
1	Ale001	5	12	10,2	2	1,5	2	0	0	0	1	0	2010	0	0	0,5	0,5
1	Ale001	6	6	14,3	2	3,5	5	0	0	0	2	0	2010	0	0	1	1
1	Ale001	7	3	17,8	3	4	5	0	0	0	0	0	2010	0	0	0	0
1	Ale001	8	2	15,7	2	2	3	0	1	0	0	0	2010	0,5	0,5	0	0
1	Ale001	9	2	19	5	3,8	5	3	4	0	0	1	2010	0,8	0,8	0	0
1	Ale001	10	8	17,8	3	2,66666667	4	0	1	0	1	0	2010	0,33333333	0,33333333	0,33333333	0,33333333
1	Ale001	11	3	10	1	4	4	0	1	0	0	0	2010	1	1	0	0
1	Ale001	12	2	21	2	3	4	0	1	0	1	0	2010	0,5	0,5	0,5	0,5
1	Ale001	13	2	17,6	3	3,33333333	5	2	2	0	0	1	2010	0,66666667	0,66666667	0	0
1	Ale001	14	4	37,7	6	2,5	4	0	4	0	2	0	2010	0,66666667	0,66666667	0,33333333	0,33333333
1	Ale001	15	3	27,2	3	3	4	0	3	0	0	0	2010	1	1	0	0
1	Ale001	16	3	20,6	3	3,33333333	5	5	3	0	0	1	2010	1	1	0	0
1	Ale001	17	3	26	3	3,33333333	4	0	1	0	2	0	2010	0,33333333	0,33333333	0,66666667	0,66666667
1	Ale001	18	5	18,9	5	1,8	4	0	1	0	4	0	2010	0,2	0,2	0,8	0,8
1	Ale001	19	3	19,2	5	1,6	3	0	2	0	3	0	2010	0,4	0,4	0,6	0,6
1	Ale001	20	3	19,1	2	3	4	0	2	0	1	0	2010	1	1	0,5	0,5
1	Ale001	21	9	16,9	1	4	4	0	0	0	1	0	2010	0	0	1	1
1	Ale001	22	3	10,3	1	2	2	0	0	0	1	0	2010	0	0	1	1
1	Ale001	23	2	10,3	1	1	1	0	1	0	0	0	2010	1	1	0	0
1	Ale001	24	1	13,1	1	3	3	0	1	0	0	0	2010	1	1	0	0
1	Ale001	25	5	11,1	1	1	1	0	1	0	0	0	2010	1	1	0	0
1	Ale001	26	6	11,2	1	3	3	0	0	0	1	0	2010	0	0	1	1
1	Ale001	27	3	21,2	4	2,25	4	0	1	0	3	0	2010	0,25	0,25	0,75	0,75
1	Ale001	28	10	15,2	3	2,66666667	4	0	1	0	2	0	2010	0,33333333	0,33333333	0,66666667	0,66666667
1	Ale001	29	1	10,2	1	2	2	0	0	0	1	0	2010	0	0	1	1
1	Ale001	30	2	15,7	2	3,5	4	2	3	0	0	1	2010	1,5	1	0	0
1	Ale001	31	3	23,2	4	3	4	0	2	0	1	0	2010	0,5	0,5	0,25	0,25
1	Ale001	32	3	24,1	3	3,33333333	4	0	1	0	2	0	2010	0,33333333	0,33333333	0,66666667	0,66666667
1	Ale001	33	3	24	3	2,66666667	4	0	1	0	2	0	2010	0,33333333	0,33333333	0,66666667	0,66666667
1	Ale001	34	2	16	1	3	3	0	1	0	0	0	2010	1	1	0	0
1	Ale001	35	9	19,5	3	1,66666667	3	0	0	0	3	0	2010	0	0	1	1
1	Ale001	36	3	22,2	1	3	3	0	1	0	0	0	2010	1	1	0	0
1	Ale001	37	3	14,1	1	3	3	0	1	0	0	0	2010	1	1	0	0
1	Ale001	38	1	13,4	1	2	2	0	0	0	1	0	2010	0	0	1	1
1	Ale001	39	1	22,5	5	3,2	5	0	4	0	0	0	2010	0,8	0,8	0	0
1	Ale001	40	2	15,9	1	3	3	0	1	0	0	0	2010	1	1	0	0
1	Ale001	41	2	21,6	4	2,25	3	0	3	0	2	0	2010	0,75	0,75	0,5	0,5
1	Ale001	42	2	13,6	2	2,5	4	0	2	0	0	0	2010	1	1	0	0
1	Ale001	43	2	14	1	1	1	0	0	0	1	0	2010	0	0	1	1
1	Ale001	44	5	13,9	2	2	3	0	1	0	1	0	2010	0,5	0,5	0,5	0,5
1	Ale001	45	4	17,8	2	3	4	0	2	0	0	0	2010	1	1	0	0
1	Ale001	46	3	17,8	2	2	3	0	2	0	0	0	2010	1	1	0	0
1	Ale001	47	3	13,1	1	1	1	0	0	0	1	0	2010	0	0	1	1
1	Ale001	48	3	17,4	2	2,5	3	0	1	0	0	0	2010	0,5	0,5	0	0
1	Ale001	49	1	16,3	1	2	2	0	1	0	0	0	2010	1	1	0	0
1	Ale001	50	1	17	2	1,5	2	0	1	0	1	0	2010	0,5	0,5	0,5	0,5
1	Ale001	51	2	20	4	3	4	5	3	0	1	1	2010	0,75	0,75	0,25	0,25
1	Ale001	52	2	14	1	3	3	0	1	0	0	0	2010	1	1	0	0
1	Ale001	53	2	23,6	4	2,75	4	0	3	0	0	0	2010	0,75	0,75	0	0
1	Ale001	54	4	29,5	4	3,25	4	0	3	0	1	0	2010	0,75	0,75	0,25	0,25
1	Ale001	55	1	16,2	1	3	3	0	1	0	0	0	2010	1	1	0	0
1	Ale001	56	6	28,2	5	3,2	4	1	3	0	2	1	2010	0,6	0,6	0,4	0,4
1	Ale001	57	2	26,2	8	1,625	3	1	3	0	3	1	2010	0,375	0,375	0,375	0,375
1	Ale001	58	2	22,4	4	2,75	4	0	2	0	2	0	2010	0,5	0,5	0,5	0,5
1	Ale001	59	3	21,5	3	1,33333333	2	0	0	0	2	0	2010	0	0	0,66666667	0,66666667
1	Ale001	60	3	24,2	2	2,5	3	0	1	0	1	0	2010	0,5	0,5	0,5	0,5
1	Ale001	61	2	28,2	5	3,2	4	4	5	0	0	1	2010	1	1	0	0
1	Ale001	62	4	20,3	2	4	5	2	0	0	3	1	2010	0	0	1,5	1
1	Ale001	63	2	33,4	4	2,25	4	0	2	0	2	0	2010	0,5	0,5	0,5	0,5
1	Ale001	64	3	14,7	3	3,66666667	5	0	3	0	0	0	2010	1	1	0	0
1	Ale001	65	3	19,7	3	3,33333333	4	0	1	0	0	0	2010	0,33333333	0,33333333	0	0
1	Ale001	66	2	22,8	4	3,25	4	5	4	0	0	1	2010	1	1	0	0
1	Ale001	67	4	19,2	3	2,66666667	4	4	3	0	0	1	2010	1	1	0	0
1	Ale001	68	1	20	1	3	3	1	1	0	0	1	2010	1	1	0	0
1	Ale001	69	1	22,5	2	2	3	0	2	0	0	0	2010	1	1	0	0
1	Ale001	70	1	17,3	3	1,66666667	3	0	3	0	0	0	2010	1	1	0	0
1	Ale001	71	2	19,1	4	3	4	0	5	0	0	0	2010	1,25	1	0	0
1	Ale001	72	1	13,6	1	1	1	0	0	2	1	0	2010	0	0	1	1
1	Ale001	73	1	6,2	5	1,8	3	0	1	0	4	0	2010	0,2	0,2	0,8	0,8
1	Ale001	74	3	18,3	3	1,33333333	2	2	3	0	0	1	2010	1	1	0	0
1	Ale001	75	2	18	1	2	2	0	1	0	0	0	2010	1	1	0	0
1	Ale001	76	2	14,4	2	2	3	0	1	0	0	0	2010	0,5	0,5	0	0
1	Ale001	77	3	23,3	5	1,2	2	4	4	0	1	1	2010	0,8	0,8	0,2	0,2
1	Ale001	78	1	31,5	5	1,2	2	0	3	0	2	0	2010	0,6	0,6	0,4	0,4
1	Ale001	79	1	30,6	6	1,83333333	3	1	4	1	2	1	2010	0,66666667	0,66666667	0,33333333	0,33333333
1	Ale001	80	1	25,2	2	2,5	3	0	2	0	0	0	2010	1	1	0	0
1	Ale001	81	2	24,5	1	3	3	0	1	0	0	0	2010	1	1	0	0
1	Ale001	82	2	19,8	2	2,5	3	0	1	0	1	0	2010	0,5	0,5	0,5	0,5
1	Ale001	83	28	18,2	3	1,66666667	3	2	2	0	0	1	2010	0,66666667	0,66666667	0	0
1	Ale001	84	3	20,1	4	2	3	0	2	2	0	0	2010	0,5	0,5	0	0
1	Ale001	85	5	21	4	2,25	3	0	3	0	1	0	2010	0,75	0,75	0,25	0,25
1	Ale001	86	1	17,7	4	1,75	2	0	2	0	2	0	2010	0,5	0,5	0,5	0,5
1	Ale001	87	2	18,5	3	2	2	1	2	0	1	1	2010	0,66666667	0,66666667	0,33333333	0,33333333
1	Ale001	88	4	19,1	5	3,4	5	0	4	0	1	0	2010	0,8	0,8	0,2	0,2
1	Ale001	89	3	23,7	5	2,2	3	0	2	4	3	0	2010	0,4	0,4	0,6	0,6
1	Ale001	90	2	20,3	3	1,66666667	3	0	2	1	0	0	2010	0,66666667	0,66666667	0	0
1	Ale001	91	4	19,2	3	1,33333333	2	0	1	0	1	0	2010	0,33333333	0,33333333	0,33333333	0,33333333
1	Ale001	92	1	20,2	4	1,25	2	0	0	0	0	0	2010	0	0	0	0
1	Ale001	93	1	17,9	2	1	1	0	0	0	0	0	2010	0	0	0	0
1	Ale001	94	2	18,6	2	1,5	2	0	2	1	0	0	2010	1	1	0	0
1	Ale001	95	1	17,7	1	3	3	0	1	0	0	0	2010	1	1	0	0
1	Ale001	96	3	23,7	3	1,66666667	3	0	2	0	1	0	2010	0,66666667	0,66666667	0,33333333	0,33333333
1	Ale001	97	3	31,5	5	3,2	4	0	0	0	0	0	2010	0	0	0	0
1	Ale001	98	4	29,3	5	1,8	3	2	1	0	3	1	2010	0,2	0,2	0,6	0,6
1	Ale001	99	1	27,5	4	2,75	3	4	3	0	2	1	2010	0,75	0,75	0,5	0,5
1	Ale001	100	2	29,4	5	2	3	0	3	0	2	0	2010	0,6	0,6	0,4	0,4
0	Ale010	1	1	27,6	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Ale010	2	2	15,6	1	1	1	0	0	0	0	0	2010	0	0	0	0
0	Ale010	3	1	19,8	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Ale010	4	1	20,6	1	1	1	0	0	0	1	0	2010	0	0	1	1
0	Ale010	5	1	30,2	3	2,66666667	4	0	0	0	0	0	2010	0	0	0	0
0	Ale010	6	3	20,6	2	2	3	0	0	1	1	0	2010	0	0	0,5	0,5
0	Ale010	7	1	20,5	1	2	2	0	0	0	0	0	2010	0	0	0	0
0	Ale010	8	3	18,2	1	2	2	0	1	0	0	0	2010	1	1	0	0
0	Ale010	9	1	22	2	1,5	2	0	0	0	0	0	2010	0	0	0	0
0	Ale010	10	1	31,7	5	3	5	0	0	0	0	0	2010	0	0	0	0
0	Ale010	11	1	35,1	3	3,33333333	4	0	0	0	3	0	2010	0	0	1	1
0	Ale010	12	1	19,2	2	3,5	5	0	1	0	0	0	2010	0,5	0,5	0	0
0	Ale010	13	1	20,3	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Ale010	14	1	18,6	3	1	1	0	3	0	0	0	2010	1	1	0	0
0	Ale010	15	1	15,4	1	3	3	0	0	0	1	0	2010	0	0	1	1
0	Ale010	16	1	22,9	2	2,5	4	0	1	0	1	0	2010	0,5	0,5	0,5	0,5
0	Ale010	17	2	12	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Ale010	18	2	15,3	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Ale010	19	1	13,5	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Ale010	20	2	19,7	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Ale010	21	1	17,6	1	2	2	0	1	1	0	0	2010	1	1	0	0
0	Ale010	22	1	29,2	1	2	2	0	1	0	0	0	2010	1	1	0	0
0	Ale010	23	1	22	1	3	3	0	0	0	2	0	2010	0	0	2	1
0	Ale010	24	1	25,6	3	2,66666667	4	0	0	0	3	0	2010	0	0	1	1
0	Ale010	25	2	16,4	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Ale010	26	1	28,5	2	3	4	0	2	0	0	0	2010	1	1	0	0
0	Ale010	27	2	30,2	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Ale010	28	2	31,5	2	2	3	0	1	0	1	0	2010	0,5	0,5	0,5	0,5
0	Ale010	29	1	22,8	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Ale010	30	1	31,1	2	1,5	2	0	0	0	1	0	2010	0	0	0,5	0,5
0	Ale010	31	4	24,1	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Ale010	32	2	24	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Ale010	33	1	18,3	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Ale010	34	2	13,3	1	1	1	0	0	0	0	0	2010	0	0	0	0
0	Ale010	35	1	15,7	1	2	2	0	0	0	0	0	2010	0	0	0	0
0	Ale010	36	3	26,6	4	1,25	2	0	0	1	2	0	2010	0	0	0,5	0,5
0	Ale010	37	1	16,5	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Ale010	38	1	15,2	1	1	1	0	0	0	0	0	2010	0	0	0	0
0	Ale010	39	2	18,5	2	1,5	2	0	0	0	0	0	2010	0	0	0	0
0	Ale010	40	1	26,9	2	3	4	0	0	0	2	0	2010	0	0	1	1
0	Ale010	41	1	27,1	3	3,33333333	5	0	0	0	0	0	2010	0	0	0	0
0	Ale010	42	2	23	2	2	2	0	0	0	0	0	2010	0	0	0	0
0	Ale010	43	1	33,2	3	2,33333333	3	0	0	0	0	0	2010	0	0	0	0
0	Ale010	44	3	22,1	1	2	2	0	0	0	0	0	2010	0	0	0	0
0	Ale010	45	8	27,8	1	3	3	0	0	0	0	0	2010	0	0	0	0
0	Ale010	46	3	14,3	1	3	3	0	0	0	0	0	2010	0	0	0	0
0	Ale010	47	1	21,3	3	2	2	0	1	0	2	0	2010	0,33333333	0,33333333	0,66666667	0,66666667
0	Ale010	48	2	19,6	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Ale010	49	1	32,7	2	3	4	0	0	0	0	0	2010	0	0	0	0
