"LokalID"	"predator"	"Lokal"	"Individ"	"n_shoots"	"h_shoot"	"n_fl"	"phen_index"	"most_adv"	"n_eggs"	"n_pred_all"	"n_aborted_all"	"perc_undeveloped"	"n_intact_fruits"	"n_seeds"	"attack"	"date"	"date_julian"	"year"	"apply_to_phen_1ago"	"phen_corr"
"1"	"Ale001"	1	"Bockemossen"	1	6	17,2	5	4	5	0	2	0	40	1	800	0	"30/07/2010"	211	2010	0,285714286	5,285714286
"2"	"Ale001"	1	"Bockemossen"	2	4	28,6	7	2,142857143	3	0	2	0	100	5	225	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"3"	"Ale001"	1	"Bockemossen"	3	5	12,4	3	2	4	0	0	0	NA	2	590	0	"30/07/2010"	211	2010	0,285714286	4,285714286
"4"	"Ale001"	1	"Bockemossen"	4	3	27	3	2,333333333	3	0	1	0	NA	2	970	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"5"	"Ale001"	1	"Bockemossen"	5	12	10,2	2	1,5	2	0	0	0	NA	1	NA	0	"30/07/2010"	211	2010	0,285714286	2,285714286
"6"	"Ale001"	1	"Bockemossen"	6	6	14,3	2	3,5	5	0	0	0	NA	2	620	0	"30/07/2010"	211	2010	0,285714286	5,285714286
"7"	"Ale001"	1	"Bockemossen"	7	3	17,8	3	4	5	0	0	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	5,285714286
"8"	"Ale001"	1	"Bockemossen"	8	2	15,7	2	2	3	0	1	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"9"	"Ale001"	1	"Bockemossen"	9	2	19	5	3,8	5	3	4	0	NA	0	NA	1	"30/07/2010"	211	2010	0,285714286	5,285714286
"10"	"Ale001"	1	"Bockemossen"	10	8	17,8	3	2,666666667	4	0	1	0	100	1	470	0	"30/07/2010"	211	2010	0,285714286	4,285714286
"11"	"Ale001"	1	"Bockemossen"	11	3	10	1	4	4	0	1	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	4,285714286
"12"	"Ale001"	1	"Bockemossen"	12	2	21	2	3	4	0	1	0	100	1	0	0	"30/07/2010"	211	2010	0,285714286	4,285714286
"13"	"Ale001"	1	"Bockemossen"	13	2	17,6	3	3,333333333	5	2	2	0	NA	0	NA	1	"30/07/2010"	211	2010	0,285714286	5,285714286
"14"	"Ale001"	1	"Bockemossen"	14	4	37,7	6	2,5	4	0	4	0	100	2	1080	0	"30/07/2010"	211	2010	0,285714286	4,285714286
"15"	"Ale001"	1	"Bockemossen"	15	3	27,2	3	3	4	0	3	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	4,285714286
"16"	"Ale001"	1	"Bockemossen"	16	3	20,6	3	3,333333333	5	5	3	0	NA	0	NA	1	"30/07/2010"	211	2010	0,285714286	5,285714286
"17"	"Ale001"	1	"Bockemossen"	17	3	26	3	3,333333333	4	0	1	0	100	2	690	0	"30/07/2010"	211	2010	0,285714286	4,285714286
"18"	"Ale001"	1	"Bockemossen"	18	5	18,9	5	1,8	4	0	1	0	NA	4	1640	0	"30/07/2010"	211	2010	0,285714286	4,285714286
"19"	"Ale001"	1	"Bockemossen"	19	3	19,2	5	1,6	3	0	2	0	NA	3	990	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"20"	"Ale001"	1	"Bockemossen"	20	3	19,1	2	3	4	0	2	0	100	1	240	0	"30/07/2010"	211	2010	0,285714286	4,285714286
"21"	"Ale001"	1	"Bockemossen"	21	9	16,9	1	4	4	0	0	0	NA	1	NA	0	"30/07/2010"	211	2010	0,285714286	4,285714286
