"LokalID"	"Predator"	"Lokal"	"Individ"	"n_shoots"	"h_shoot"	"n_fl"	"phen_index"	"most_adv"	"n_eggs"	"n_pred_all"	"n_aborted_all"	"perc_undeveloped"	"n_intact_fruits"	"n_seeds"	"attack"	"date"	"date_julian"	"year"	"apply_to_phen_1ago"	"phen_corr"
"1"	"Ale001"	1	"Bockemossen"	1	3	37	6	2,5	4	0	0	0	NA	0	NA	0	"23/07/2011"	204	2011	1,285714286	5,285714286
"2"	"Ale001"	1	"Bockemossen"	2	3	28,5	8	3,5	5	9	4	1	NA	3	870	1	"23/07/2011"	204	2011	1,285714286	6,285714286
"3"	"Ale001"	1	"Bockemossen"	3	2	22,2	4	3,5	5	0	2	0	NA	2	900	0	"23/07/2011"	204	2011	1,285714286	6,285714286
"4"	"Ale001"	1	"Bockemossen"	4	3	33,7	9	3,333333333	5	19	6	0	NA	3	270	1	"23/07/2011"	204	2011	1,285714286	6,285714286
"5"	"Ale001"	1	"Bockemossen"	5	4	23,4	4	3,5	5	16	2	0	NA	2	NA	1	"23/07/2011"	204	2011	1,285714286	6,285714286
"6"	"Ale001"	1	"Bockemossen"	6	2	18,6	3	2,333333333	4	2	1	1	0	1	0	1	"23/07/2011"	204	2011	1,285714286	5,285714286
"7"	"Ale001"	1	"Bockemossen"	7	5	22,4	3	3	4	2	1	1	NA	1	NA	1	"23/07/2011"	204	2011	1,285714286	5,285714286
"8"	"Ale001"	1	"Bockemossen"	8	3	31,6	5	3,2	4	6	4	1	0	0	160	1	"23/07/2011"	204	2011	1,285714286	5,285714286
"9"	"Ale001"	1	"Bockemossen"	9	3	24,7	4	3,75	5	7	3	0	NA	1	130	1	"23/07/2011"	204	2011	1,285714286	6,285714286
"10"	"Ale001"	1	"Bockemossen"	10	5	20,6	5	2,6	5	5	3	1	100	1	0	1	"23/07/2011"	204	2011	1,285714286	6,285714286
"11"	"Ale001"	1	"Bockemossen"	11	2	13,7	1	3	3	0	0	0	NA	1	470	0	"23/07/2011"	204	2011	1,285714286	4,285714286
"12"	"Ale001"	1	"Bockemossen"	12	2	19,5	2	1,5	2	0	1	1	NA	0	NA	0	"23/07/2011"	204	2011	1,285714286	3,285714286
"13"	"Ale001"	1	"Bockemossen"	13	2	26	3	2,666666667	4	4	2	0	0	1	0	1	"23/07/2011"	204	2011	1,285714286	5,285714286
"14"	"Ale001"	1	"Bockemossen"	14	3	23,2	4	2,5	4	7	3	0	NA	1	NA	1	"23/07/2011"	204	2011	1,285714286	5,285714286
"15"	"Ale001"	1	"Bockemossen"	15	1	24	2	3	4	0	1	0	NA	1	NA	0	"23/07/2011"	204	2011	1,285714286	5,285714286
"16"	"Ale001"	1	"Bockemossen"	16	4	26,8	4	3	4	0	4	0	NA	0	NA	0	"23/07/2011"	204	2011	1,285714286	5,285714286
"17"	"Ale001"	1	"Bockemossen"	17	2	22,2	2	3,5	4	4	1	0	NA	1	NA	1	"23/07/2011"	204	2011	1,285714286	5,285714286
"18"	"Ale001"	1	"Bockemossen"	18	2	28	5	3,4	5	7	2	2	NA	1	NA	1	"23/07/2011"	204	2011	1,285714286	6,285714286
"19"	"Ale001"	1	"Bockemossen"	19	3	25,3	4	1	1	0	2	2	NA	2	NA	0	"23/07/2011"	204	2011	1,285714286	2,285714286
"20"	"Ale001"	1	"Bockemossen"	20	3	25,5	3	3,333333333	4	5	3	0	100	0	0	1	"23/07/2011"	204	2011	1,285714286	5,285714286
"21"	"Ale001"	1	"Bockemossen"	21	3	40,5	8	2,875	4	1	0	0	NA	0	NA	1	"23/07/2011"	204	2011	1,285714286	5,285714286
"22"	"Ale001"	1	"Bockemossen"	22	2	30,3	5	2,2	4	0	1	0	NA	4	NA	0	"23/07/2011"	204	2011	1,285714286	5,285714286
"23"	"Ale001"	1	"Bockemossen"	23	5	19	4	4	5	6	4	0	NA	0	NA	1	"23/07/2011"	204	2011	1,285714286	6,285714286
"24"	"Ale001"	1	"Bockemossen"	24	4	24,2	3	4,333333333	5	13	3	0	NA	0	NA	1	"23/07/2011"	204	2011	1,285714286	6,285714286
"25"	"Ale001"	1	"Bockemossen"	25	4	28	7	3	4	4	7	0	50	0	210	1	"23/07/2011"	204	2011	1,285714286	5,285714286
"26"	"Ale001"	1	"Bockemossen"	26	3	18,5	5	4,6	5	12	5	0	NA	0	NA	1	"23/07/2011"	204	2011	1,285714286	6,285714286
"27"	"Ale001"	1	"Bockemossen"	27	3	18,8	5	4,4	5	4	4	1	0	1	1120	1	"23/07/2011"	204	2011	1,285714286	6,285714286
"28"	"Ale001"	1	"Bockemossen"	28	3	20,5	4	3,5	5	8	3	1	NA	0	NA	1	"23/07/2011"	204	2011	1,285714286	6,285714286
"29"	"Ale001"	1	"Bockemossen"	29	4	17,9	4	2,5	4	2	2	0	NA	2	NA	1	"23/07/2011"	204	2011	1,285714286	5,285714286
"30"	"Ale001"	1	"Bockemossen"	30	3	28,8	7	2,571428571	3	0	3	0	NA	4	NA	0	"23/07/2011"	204	2011	1,285714286	4,285714286
"31"	"Ale001"	1	"Bockemossen"	31	2	25,7	3	2,666666667	4	0	3	0	NA	0	NA	0	"23/07/2011"	204	2011	1,285714286	5,285714286
"32"	"Ale001"	1	"Bockemossen"	32	2	17,8	3	3,666666667	5	0	1	0	NA	2	NA	0	"23/07/2011"	204	2011	1,285714286	6,285714286
"33"	"Ale001"	1	"Bockemossen"	33	2	17,7	3	1,333333333	2	0	2	0	NA	1	NA	0	"23/07/2011"	204	2011	1,285714286	3,285714286
"34"	"Ale001"	1	"Bockemossen"	34	4	18,3	3	2,666666667	4	2	1	1	NA	1	NA	1	"23/07/2011"	204	2011	1,285714286	5,285714286
"35"	"Ale001"	1	"Bockemossen"	35	1	13,7	1	1	1	0	1	0	NA	0	NA	0	"23/07/2011"	204	2011	1,285714286	2,285714286
"36"	"Ale001"	1	"Bockemossen"	36	4	15,9	4	2	3	0	3	0	NA	1	NA	0	"23/07/2011"	204	2011	1,285714286	4,285714286
"37"	"Ale001"	1	"Bockemossen"	37	2	15,7	1	2	2	0	0	0	NA	1	NA	0	"23/07/2011"	204	2011	1,285714286	3,285714286
"38"	"Ale001"	1	"Bockemossen"	38	3	21,3	3	2,333333333	4	0	1	0	NA	2	NA	0	"23/07/2011"	204	2011	1,285714286	5,285714286
"39"	"Ale001"	1	"Bockemossen"	39	2	26	4	2,5	4	2	3	0	NA	1	NA	1	"23/07/2011"	204	2011	1,285714286	5,285714286
"40"	"Ale001"	1	"Bockemossen"	40	2	17,2	1	3	3	0	0	0	NA	1	NA	0	"23/07/2011"	204	2011	1,285714286	4,285714286
"41"	"Ale001"	1	"Bockemossen"	41	4	16,2	3	1,333333333	2	0	1	1	NA	1	NA	0	"23/07/2011"	204	2011	1,285714286	3,285714286
"42"	"Ale001"	1	"Bockemossen"	42	2	14,7	1	4	4	0	1	0	NA	0	NA	0	"23/07/2011"	204	2011	1,285714286	5,285714286
"43"	"Ale001"	1	"Bockemossen"	43	2	18,3	2	2	3	0	2	0	NA	0	NA	0	"23/07/2011"	204	2011	1,285714286	4,285714286
"44"	"Ale001"	1	"Bockemossen"	44	2	10,4	1	2	2	0	1	0	NA	0	NA	0	"23/07/2011"	204	2011	1,285714286	3,285714286
"45"	"Ale001"	1	"Bockemossen"	45	1	11,2	1	1	1	0	0	0	NA	1	NA	0	"23/07/2011"	204	2011	1,285714286	2,285714286
"46"	"Ale001"	1	"Bockemossen"	46	2	25,2	4	2,5	4	5	1	0	NA	3	NA	1	"23/07/2011"	204	2011	1,285714286	5,285714286
"47"	"Ale001"	1	"Bockemossen"	47	2	16,1	1	3	3	0	1	0	NA	0	NA	0	"23/07/2011"	204	2011	1,285714286	4,285714286
"48"	"Ale001"	1	"Bockemossen"	48	2	9	1	2	2	0	0	0	NA	1	NA	0	"23/07/2011"	204	2011	1,285714286	3,285714286
"49"	"Ale001"	1	"Bockemossen"	49	3	21,3	3	1,333333333	2	0	0	0	NA	3	NA	0	"23/07/2011"	204	2011	1,285714286	3,285714286
"50"	"Ale001"	1	"Bockemossen"	50	2	19	3	2,666666667	4	0	1	0	NA	2	NA	0	"23/07/2011"	204	2011	1,285714286	5,285714286
