predator	LokalID	Lokal	Individ	n_shoots	h_shoot	n_fl	phen_index	most_adv	n_eggs	n_pred_all	n_aborted_all	perc_undeveloped	n_intact_fruits	n_seeds	attack
1	Ale001	Bockemossen	1	6	17,2	5	4	5	0	2	0	40	1	800	0
1	Ale001	Bockemossen	2	4	28,6	7	2,142857143	3	0	2	0	100	5	225	0
1	Ale001	Bockemossen	3	5	12,4	3	2	4	0	0	0	NA	2	590	0
1	Ale001	Bockemossen	4	3	27	3	2,333333333	3	0	1	0	NA	2	970	0
1	Ale001	Bockemossen	5	12	10,2	2	1,5	2	0	0	0	NA	1	NA	0
1	Ale001	Bockemossen	6	6	14,3	2	3,5	5	0	0	0	NA	2	620	0
1	Ale001	Bockemossen	7	3	17,8	3	4	5	0	0	0	NA	0	NA	0
1	Ale001	Bockemossen	8	2	15,7	2	2	3	0	1	0	NA	0	NA	0
1	Ale001	Bockemossen	9	2	19	5	3,8	5	3	4	0	NA	0	NA	1
1	Ale001	Bockemossen	10	8	17,8	3	2,666666667	4	0	1	0	100	1	470	0
1	Ale001	Bockemossen	11	3	10	1	4	4	0	1	0	NA	0	NA	0
1	Ale001	Bockemossen	12	2	21	2	3	4	0	1	0	100	1	0	0
1	Ale001	Bockemossen	13	2	17,6	3	3,333333333	5	2	2	0	NA	0	NA	1
1	Ale001	Bockemossen	14	4	37,7	6	2,5	4	0	4	0	100	2	1080	0
1	Ale001	Bockemossen	15	3	27,2	3	3	4	0	3	0	NA	0	NA	0
1	Ale001	Bockemossen	16	3	20,6	3	3,333333333	5	5	3	0	NA	0	NA	1
1	Ale001	Bockemossen	17	3	26	3	3,333333333	4	0	1	0	100	2	690	0
1	Ale001	Bockemossen	18	5	18,9	5	1,8	4	0	1	0	NA	4	1640	0
1	Ale001	Bockemossen	19	3	19,2	5	1,6	3	0	2	0	NA	3	990	0
1	Ale001	Bockemossen	20	3	19,1	2	3	4	0	2	0	100	1	240	0
1	Ale001	Bockemossen	21	9	16,9	1	4	4	0	0	0	NA	1	NA	0
1	Ale001	Bockemossen	22	3	10,3	1	2	2	0	0	0	NA	1	360	0
1	Ale001	Bockemossen	23	2	10,3	1	1	1	0	1	0	NA	0	NA	0
1	Ale001	Bockemossen	24	1	13,1	1	3	3	0	1	0	NA	0	NA	0
1	Ale001	Bockemossen	25	5	11,1	1	1	1	0	1	0	NA	0	NA	0
1	Ale001	Bockemossen	26	6	11,2	1	3	3	0	0	0	NA	1	0	0
1	Ale001	Bockemossen	27	3	21,2	4	2,25	4	0	1	0	100	3	1305	0
1	Ale001	Bockemossen	28	10	15,2	3	2,666666667	4	0	1	0	100	2	590	0
1	Ale001	Bockemossen	29	1	10,2	1	2	2	0	0	0	NA	1	190	0
1	Ale001	Bockemossen	30	2	15,7	2	3,5	4	2	3	0	NA	0	NA	1
1	Ale001	Bockemossen	31	3	23,2	4	3	4	0	2	0	99	1	40	0
1	Ale001	Bockemossen	32	3	24,1	3	3,333333333	4	0	1	0	100	2	1170	0
1	Ale001	Bockemossen	33	3	24	3	2,666666667	4	0	1	0	0	2	900	0
1	Ale001	Bockemossen	34	2	16	1	3	3	0	1	0	100	0	0	0
1	Ale001	Bockemossen	35	9	19,5	3	1,666666667	3	0	0	0	NA	3	390	0
1	Ale001	Bockemossen	36	3	22,2	1	3	3	0	1	0	0	0	0	0
1	Ale001	Bockemossen	37	3	14,1	1	3	3	0	1	0	NA	0	NA	0
1	Ale001	Bockemossen	38	1	13,4	1	2	2	0	0	0	NA	1	90	0
1	Ale001	Bockemossen	39	1	22,5	5	3,2	5	0	4	0	NA	0	NA	0
1	Ale001	Bockemossen	40	2	15,9	1	3	3	0	1	0	100	0	0	0
1	Ale001	Bockemossen	41	2	21,6	4	2,25	3	0	3	0	NA	2	740	0
1	Ale001	Bockemossen	42	2	13,6	2	2,5	4	0	2	0	100	0	0	0
1	Ale001	Bockemossen	43	2	14	1	1	1	0	0	0	NA	1	420	0
1	Ale001	Bockemossen	44	5	13,9	2	2	3	0	1	0	NA	1	NA	0
1	Ale001	Bockemossen	45	4	17,8	2	3	4	0	2	0	NA	0	NA	0
1	Ale001	Bockemossen	46	3	17,8	2	2	3	0	2	0	50	0	0	0
1	Ale001	Bockemossen	47	3	13,1	1	1	1	0	0	0	NA	1	0	0
1	Ale001	Bockemossen	48	3	17,4	2	2,5	3	0	1	0	NA	0	NA	0
1	Ale001	Bockemossen	49	1	16,3	1	2	2	0	1	0	NA	0	NA	0
1	Ale001	Bockemossen	50	1	17	2	1,5	2	0	1	0	NA	1	300	0
1	Ale001	Bockemossen	51	2	20	4	3	4	5	3	0	NA	1	320	1
1	Ale001	Bockemossen	52	2	14	1	3	3	0	1	0	NA	0	NA	0
1	Ale001	Bockemossen	53	2	23,6	4	2,75	4	0	3	0	NA	0	NA	0
1	Ale001	Bockemossen	54	4	29,5	4	3,25	4	0	3	0	NA	1	830	0
1	Ale001	Bockemossen	55	1	16,2	1	3	3	0	1	0	NA	0	NA	0
1	Ale001	Bockemossen	56	6	28,2	5	3,2	4	1	3	0	NA	2	1040	1
1	Ale001	Bockemossen	57	2	26,2	8	1,625	3	1	3	0	NA	3	1230	1
1	Ale001	Bockemossen	58	2	22,4	4	2,75	4	0	2	0	NA	2	520	0
1	Ale001	Bockemossen	59	3	21,5	3	1,333333333	2	0	0	0	NA	2	560	0
1	Ale001	Bockemossen	60	3	24,2	2	2,5	3	0	1	0	NA	1	340	0
1	Ale001	Bockemossen	61	2	28,2	5	3,2	4	4	5	0	NA	0	NA	1
1	Ale001	Bockemossen	62	4	20,3	2	4	5	2	0	0	NA	3	1425	1
1	Ale001	Bockemossen	63	2	33,4	4	2,25	4	0	2	0	NA	2	680	0
1	Ale001	Bockemossen	64	3	14,7	3	3,666666667	5	0	3	0	20	0	1320	0
1	Ale001	Bockemossen	65	3	19,7	3	3,333333333	4	0	1	0	NA	0	NA	0
1	Ale001	Bockemossen	66	2	22,8	4	3,25	4	5	4	0	NA	0	NA	1
1	Ale001	Bockemossen	67	4	19,2	3	2,666666667	4	4	3	0	NA	0	NA	1
1	Ale001	Bockemossen	68	1	20	1	3	3	1	1	0	100	0	0	1
1	Ale001	Bockemossen	69	1	22,5	2	2	3	0	2	0	NA	0	NA	0
1	Ale001	Bockemossen	70	1	17,3	3	1,666666667	3	0	3	0	NA	0	NA	0
1	Ale001	Bockemossen	71	2	19,1	4	3	4	0	5	0	NA	0	NA	0
1	Ale001	Bockemossen	72	1	13,6	1	1	1	0	0	2	NA	1	150	0
1	Ale001	Bockemossen	73	1	6,2	5	1,8	3	0	1	0	NA	4	380	0
1	Ale001	Bockemossen	74	3	18,3	3	1,333333333	2	2	3	0	NA	0	NA	1
1	Ale001	Bockemossen	75	2	18	1	2	2	0	1	0	NA	0	NA	0
1	Ale001	Bockemossen	76	2	14,4	2	2	3	0	1	0	NA	0	NA	0
1	Ale001	Bockemossen	77	3	23,3	5	1,2	2	4	4	0	NA	1	280	1
1	Ale001	Bockemossen	78	1	31,5	5	1,2	2	0	3	0	NA	2	330	0
1	Ale001	Bockemossen	79	1	30,6	6	1,833333333	3	1	4	1	NA	2	140	1
1	Ale001	Bockemossen	80	1	25,2	2	2,5	3	0	2	0	NA	0	NA	0
1	Ale001	Bockemossen	81	2	24,5	1	3	3	0	1	0	NA	0	NA	0
1	Ale001	Bockemossen	82	2	19,8	2	2,5	3	0	1	0	NA	1	420	0
1	Ale001	Bockemossen	83	28	18,2	3	1,666666667	3	2	2	0	NA	0	NA	1
1	Ale001	Bockemossen	84	3	20,1	4	2	3	0	2	2	NA	0	NA	0
1	Ale001	Bockemossen	85	5	21	4	2,25	3	0	3	0	NA	1	260	0
1	Ale001	Bockemossen	86	1	17,7	4	1,75	2	0	2	0	NA	2	0	0
1	Ale001	Bockemossen	87	2	18,5	3	2	2	1	2	0	NA	1	130	1
1	Ale001	Bockemossen	88	4	19,1	5	3,4	5	0	4	0	100	1	0	0
1	Ale001	Bockemossen	89	3	23,7	5	2,2	3	0	2	4	NA	3	NA	0
1	Ale001	Bockemossen	90	2	20,3	3	1,666666667	3	0	2	1	NA	0	NA	0
1	Ale001	Bockemossen	91	4	19,2	3	1,333333333	2	0	1	0	NA	1	0	0
1	Ale001	Bockemossen	92	1	20,2	4	1,25	2	0	0	0	NA	0	NA	0
1	Ale001	Bockemossen	93	1	17,9	2	1	1	0	0	0	NA	0	NA	0
1	Ale001	Bockemossen	94	2	18,6	2	1,5	2	0	2	1	NA	0	NA	0
1	Ale001	Bockemossen	95	1	17,7	1	3	3	0	1	0	NA	0	NA	0
1	Ale001	Bockemossen	96	3	23,7	3	1,666666667	3	0	2	0	NA	1	0	0
1	Ale001	Bockemossen	97	3	31,5	5	3,2	4	0	0	0	NA	0	NA	0
1	Ale001	Bockemossen	98	4	29,3	5	1,8	3	2	1	0	NA	3	960	1
1	Ale001	Bockemossen	99	1	27,5	4	2,75	3	4	3	0	NA	2	1100	1
1	Ale001	Bockemossen	100	2	29,4	5	2	3	0	3	0	100	2	790	0
0	Ale010	Stora Kroksjön Ö stranden	1	1	27,6	1	2	2	0	0	0	NA	1	550	0
0	Ale010	Stora Kroksjön Ö stranden	2	2	15,6	1	1	1	0	0	0	NA	0	NA	0
0	Ale010	Stora Kroksjön Ö stranden	3	1	19,8	1	1	1	0	1	0	0	0	0	0
0	Ale010	Stora Kroksjön Ö stranden	4	1	20,6	1	1	1	0	0	0	NA	1	400	0
0	Ale010	Stora Kroksjön Ö stranden	5	1	30,2	3	2,666666667	4	0	0	0	NA	0	NA	0
