pop	year	mean_phen	mean_attack	attacked	not_attacked	mean_n_eggs
Ale001	2010	3,22	0,19	19	81	0,51
Ale001	2011	3,76	0,46	46	54	2,17
Göt009a	2010	2,63	0,15	15	85	0,32
Göt009a	2011	3,49	0,51	51	49	1,88
Göt009b	2010	2,52	0,09	9	91	0,27
Göt009b	2011	3,76	0,33	33	67	0,92
Göt016	2010	2,34	0,01	1	99	0,02
Göt016	2011	2,66	0,12	12	88	0,32
Her003	2010	3,28	0,35	35	65	0,94
Her003	2011	3,85	0,44	44	56	2,16
Her004	2010	2,81	0,46	46	54	2,68
Her004	2011	2,66	0,47	47	53	3,32
Her005	2010	3,06	0,27	27	73	0,87
Her005	2011	3,27	0,31	31	69	1,72
Ler010	2010	3,81	0,61	61	39	3,22
Ler010	2011	3,66	0,58	58	42	5,4
Par003	2010	2,57	0,64	64	36	4,6
Par003	2011	2,29	0,61	61	39	12,47
Vår004	2010	3,31	0,57	57	43	3,99
Vår004	2011	3,52	0,67	67	33	7,7
Vår009	2010	3,74	0,34	34	66	1,18
Vår009	2011	2,59	0,45	45	55	3,24
